rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,12,Marília Mendonça
2,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,2,6,4,AgroPlay
3,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,3,5,4,Henrique & Juliano
4,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,1,5,Leo Santana
5,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,1,3,13,Israel & Rodolffo
6,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,6,10,4,Matheus & Kauan
7,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,7,20,3,Guilherme & Benuto
8,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,8,8,5,Gusttavo Lima
10,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,4,4,4,Zé Felipe
11,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,7,13,Gustavo Mioto
12,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,10,13,6,Gustavo Mioto
13,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,5,9,11,Maiara & Maraisa
14,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,14,16,3,MC Xenon
15,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,15,28,5,Simone Mendes
16,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,16,40,2,Zé Neto & Cristiano
17,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,4,18,13,Matheus & Kauan
18,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,3,11,13,Guilherme & Benuto
19,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,6,14,13,Israel & Rodolffo
20,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,15,15,7,Naiara Azevedo
21,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,8,19,12,WIU
22,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,22,25,5,NATTAN
23,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,23,23,7,Matheus Fernandes
24,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,18,31,8,Mc Tato
25,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,9,29,13,Guilherme & Benuto
26,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,24,35,6,Luan Santana
27,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,9,24,13,Jorge & Mateus
28,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,13,27,10,Ana Castela
29,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,6,32,8,DJ Jeeh FDC
30,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),16,17,13,Kadu Martins
31,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,7,21,13,Zé Felipe
32,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,6,26,13,Guilherme & Benuto
33,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,22,22,9,Anitta
34,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,2,30,13,MC MENOR HR
35,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,8,33,13,Felipe e Rodrigo
36,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,6,34,13,Diego & Victor Hugo
37,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,21,36,13,Mc Jacaré
38,spotify:track:2zDwJnP9n9yCUyfiLIwkDM,Se Ele Soubesse - Ao Vivo,38,38,4,Guilherme & Santiago
39,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,25,37,12,MC Ryan SP
40,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,10,39,11,MC K.K
41,spotify:track:1cmH3nQCYgR8lmq1ZFAXcI,Alô Inveja - Ao Vivo Em Brasília,41,44,4,Henrique & Juliano
42,spotify:track:2orGm2E68ODFYOURjaES62,Felina,12,41,13,WIU
