rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,9,Marília Mendonça
2,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,2,50,2,Leo Santana
3,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,1,2,13,Israel & Rodolffo
4,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,3,13,Gustavo Mioto
5,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,5,7,8,Maiara & Maraisa
6,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,3,5,13,Guilherme & Benuto
7,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,4,4,13,Matheus & Kauan
8,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,6,6,10,Israel & Rodolffo
9,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,9,—,1,Henrique & Juliano
10,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,9,9,13,Guilherme & Benuto
11,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,11,26,3,Gustavo Mioto
12,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,12,28,2,Gusttavo Lima
13,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,13,14,7,Ana Castela
14,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,7,13,12,Zé Felipe
15,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,8,13,MC MENOR HR
16,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,16,18,4,Naiara Azevedo
17,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,6,12,5,DJ Jeeh FDC
18,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,4,11,13,Guilherme & Benuto
19,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,17,19,9,WIU
20,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,9,10,13,Jorge & Mateus
21,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,21,27,12,Mc Jacaré
22,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,18,20,5,Mc Tato
23,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,8,21,13,Felipe e Rodrigo
24,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,10,16,8,MC K.K
25,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,6,15,13,Diego & Victor Hugo
26,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,26,—,1,Zé Felipe
27,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,22,23,6,Anitta
28,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,24,24,3,Luan Santana
29,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),16,25,13,Kadu Martins
30,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,22,22,13,Gusttavo Lima
