rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,1,1,12,George Henrique & Rodrigo
2,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,2,3,4,Xamã
3,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,4,7,Gusttavo Lima
4,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,2,13,Marília Mendonça
5,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,5,8,5,Jorge & Mateus
6,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,5,13,Henrique & Juliano
7,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,7,10,Marília Mendonça
8,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,5,6,9,Zé Felipe
9,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,5,11,13,Henrique & Juliano
10,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,10,10,9,Mari Fernandez
11,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,5,14,13,PEDRO SAMPAIO
12,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,2,9,12,Paulo Pires
13,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,13,20,5,DJ Matt D
14,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,2,13,13,Marília Mendonça
15,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,12,18,13,Tayrone
16,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,12,13,Zé Neto & Cristiano
17,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,6,15,11,MC Levin
18,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,3,16,13,Gusttavo Lima
19,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,2,17,13,Avine Vinny
20,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,17,21,12,Henrique & Juliano
21,spotify:track:2PZmUFZGlUqkYJL0s0Cl6C,Dar uma Namorada - Ao Vivo,21,24,8,Israel & Rodolffo
22,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,12,22,13,Matheus & Kauan
23,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,23,25,13,Max e Luan
24,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,24,26,13,Clayton & Romário
25,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,5,19,13,Zé Felipe
26,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,9,23,13,Zé Neto & Cristiano
27,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,24,27,5,Anitta
28,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,13,29,13,Felipe Amorim
29,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,11,28,13,João Gomes
30,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,18,30,13,Vitor e Luan
31,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,17,31,13,Marília Mendonça
32,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,32,55,5,Matheus & Kauan
33,spotify:track:6JIIejoN31NIn6BJsVS3cu,Oi Deus - Ao Vivo,24,36,11,Hugo & Guilherme
34,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,8,33,13,Mc Anjim
35,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,35,40,6,Wesley Safadão
36,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,13,32,13,Diego & Victor Hugo
37,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,16,38,12,Marina Sena
38,spotify:track:17QN5kFprJqHdHLMj7hz4s,Ficha Limpa - Ao Vivo,9,35,13,Gusttavo Lima
