rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,2,4,Ana Castela
2,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,2,3,3,Gusttavo Lima
3,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,1,1,6,Mc Livinho
4,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,5,12,DENNIS
5,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,2,6,8,Luan Santana
6,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,4,24,Zé Neto & Cristiano
7,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,8,26,AgroPlay
8,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,8,12,6,Zé Neto & Cristiano
9,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,9,27,Simone Mendes
10,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,7,22,Israel & Rodolffo
11,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",6,10,7,Mc Pedrinho
12,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,12,13,5,Luan Pereira
13,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,13,14,7,Kadu Martins
14,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,8,15,20,Grupo Menos É Mais
15,spotify:track:1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,2,23,21,Clayton & Romário
16,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,3,11,26,Henrique & Juliano
17,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,14,18,12,Guilherme & Benuto
18,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,10,19,11,Murilo Huff
19,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,4,21,8,Hugo & Guilherme
20,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,6,22,18,Hugo & Guilherme
21,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,7,17,25,Guilherme & Benuto
22,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,13,16,20,Zé Neto & Cristiano
23,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,23,28,3,Vulgo FK
24,spotify:track:6dtQM0CXRFJgD7ifUNosZj,Desandei - Ao Vivo,7,26,13,Lauana Prado
25,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,3,24,26,Matheus & Kauan
26,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),26,—,1,MC Kevin o Chris
27,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,23,27,11,Veigh
28,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,8,29,11,Israel & Rodolffo
29,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",13,25,6,Dyamante DJ
30,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,30,—,1,Gusttavo Lima
31,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,2,20,28,Gustavo Mioto
32,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,30,34,Marília Mendonça
33,spotify:track:0WrM1ON5poAsmKw3x5uPhD,Narcisista - Ao Vivo,33,63,3,Maiara & Maraisa
34,spotify:track:7zmS0vPbWg2k6sfL3uqrGD,Cê Não Me Superou - Ao Vivo,32,32,4,Luiza Martins
35,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,14,80,9,Eric Land
36,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",31,31,6,Melody
37,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,1,33,39,Israel & Rodolffo
38,spotify:track:4vdFF0P7oTZoeKvnfIsbh3,Te Esqueci Sem Querer - Ao Vivo Em Brasília,27,34,15,Henrique & Juliano
39,spotify:track:55vC6IXdrqntPOZeMQJ8Kd,Beijo Fuleiro - Ao Vivo,39,39,4,Lauana Prado
40,spotify:track:64I2WXRrFWWxjRh8uTYYQB,Abre A Mente - Ao Vivo Em Brasília,39,41,8,Henrique & Juliano
41,spotify:track:4qx6N7gtoRnqFHQKOS5AKH,Rancorosa - Ao Vivo Em Brasília,18,35,19,Henrique & Juliano
42,spotify:track:1V4l4h7kYaKyXJk74g6ilu,Guardanapo Borrado - Ao Vivo,42,64,4,Israel & Rodolffo
43,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,18,36,12,MC Caverinha
44,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,44,49,7,Diego & Victor Hugo
45,spotify:track:09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,14,40,22,Hugo & Guilherme
46,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,43,43,5,Leo Santana
47,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,5,37,33,Maiara & Maraisa
48,spotify:track:44FHIA9SyNUMEu6ZFFRDLH,Duas Camas - Ao Vivo,47,47,4,Matheus Fernandes
49,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,28,38,19,Luan Pereira
50,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,45,45,5,Zé Neto & Cristiano
51,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,3,42,27,Gusttavo Lima
52,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,22,51,27,NATTAN
53,spotify:track:1YxF1GMnWW0aw38Fgz1jQl,Recaída Certa - Ao Vivo,23,59,3,William & Bidiko
54,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,5,48,18,KayBlack
55,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,41,50,14,MC Kevin o Chris
56,spotify:track:6L8aBaqfwMuwhpI9uhbyjp,JOIA RARA,56,66,3,PEDRO SAMPAIO
57,spotify:track:6a382HNK01vxXOucIrXMZ3,Me Usa - Ao Vivo,57,62,3,Mariana Fagundes
58,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,7,56,18,Wesley Safadão
59,spotify:track:5ZK7aSCekvak07cMqnP8Re,Esses Caras São Ligeiro - Ao Vivo,27,54,5,Felipe Araújo
60,spotify:track:2LJLGfBHKFmNdD4iXRRPXV,Solteiro Frustrado - Ao Vivo,40,52,7,Gusttavo Lima
61,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,61,—,1,Henrique & Juliano
62,spotify:track:4aFZiSRqkxC5sIbSDMWBE5,Rua - Ao Vivo em Bahamas,61,61,3,Wesley Safadão
63,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,13,44,32,Ana Castela
64,spotify:track:0CcYCGaqBcbbCB3fPhCF2f,Meu Vício - Ao Vivo,64,70,3,Michel Teló
65,spotify:track:5vdQUAFncALEH9EQvyAqIX,Forte Forte de Lacoste - Pra Começar o Final de Semana,58,58,4,DJ Jeeh FDC
66,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,56,65,10,Veigh
67,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),32,55,14,Matuê
68,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,68,—,1,Felipe Amorim
69,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,41,60,11,MC Guh SR
70,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,6,53,16,Gusttavo Lima
71,spotify:track:0NT5lqJRVqalniTXmHUTIT,Novidade - Ao Vivo,71,72,3,Felipe e Rodrigo
72,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,51,69,14,Belle Kaffer
73,spotify:track:1nDgPqq5gsQince3gJJ6dQ,Olha o Trem,73,82,3,JIRAYAUAI
74,spotify:track:1MgO3fAl4ODVQweg5GR0Lk,Posição de Ataque,21,73,3,Papatinho
75,spotify:track:2uGk60j3LR5bp6tGq9vtII,Halls na Língua - Remix,75,—,1,GORDÃO DO PC
76,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,41,67,22,MC Rogerinho
77,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,63,77,16,KayBlack
78,spotify:track:0wSFsliBwxevwTEXXag2ro,A Semana Inteira,75,75,2,Mc Don Juan
79,spotify:track:0btol0yAwaK1mJdyQfnKFn,Eu Nem Lembro,79,—,1,Henry Freitas
80,spotify:track:4C1zrTdEYE55CfWuYlYZ28,Não Deixa Eu Saber,78,78,2,Os Barões Da Pisadinha
81,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,46,46,Gustavo Mioto
82,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,4,68,42,Matheus & Kauan
83,spotify:track:74myq4QbO9E8bTtLQuOWYY,Nu,16,—,1,Anitta
84,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,8,74,34,WIU
85,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,11,86,25,MC Xenon
86,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,71,58,Guilherme & Benuto
87,spotify:track:0UdNZYAdu4OhGBwF8xjAej,Carrossel,87,87,2,Fiorella
88,spotify:track:3zKJWk2l4uZ46KNRSFHriG,Palhaça - Ao Vivo,15,57,29,Naiara Azevedo
89,spotify:track:4LonfbY2eDJOAwCgf4qXfl,Da Da Da,33,85,2,US Agroboy
90,spotify:track:1JpQPtmhdcy0xrZimXJoUv,Arranhando O Azulejo - Ao Vivo,30,93,2,Thiago Carvalho
91,spotify:track:2xhUjhT8xgSxzvbR8zKpCQ,Saudade,34,91,2,Ferrugem
92,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,35,76,34,Bruno & Denner
93,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,56,83,18,KayBlack
94,spotify:track:3xj9hgv6wpBqA0yBJwnbee,24 Horas,94,97,2,Papatinho
95,spotify:track:3SWqd8gFeeItkeXwcPI77K,Flor De Plástico - Ao Vivo,74,81,2,Fred & Fabrício
96,spotify:track:31VGydKjJimZM0ESZ5Wzb1,Fé nas Maluca,96,—,1,IZA
97,spotify:track:0Co2c6T1U06m4wLT6kOxdc,Poesia Acústica 14,97,—,1,Pineapple StormTv
98,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),42,84,16,MC PH
99,spotify:track:7h0MeCaiQDtdZWGQieLItS,Eu Nunca Fui - Ao Vivo,99,99,2,Lucas Lucco
100,spotify:track:1JxrRikYoQjq2hlogQFyv5,Vai Luan - AgroPlay Verão,65,79,5,AgroPlay
