rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,1,1,13,Luan Santana
2,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,2,15,Gusttavo Lima
3,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,3,3,13,Hugo & Guilherme
4,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,4,5,10,Jorge & Mateus
5,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,6,4,Zé Felipe
6,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,4,26,Hugo & Guilherme
7,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,3,7,16,Matheus Fernandes
8,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,8,17,3,Guilherme & Benuto
9,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,4,9,15,Felipe Amorim
10,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,10,13,4,L7NNON
11,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,7,8,8,Henrique & Juliano
12,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),9,10,6,Gusttavo Lima
13,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,13,24,4,Ana Castela
14,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,11,11,3,MC Tairon
15,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,15,—,1,Gusttavo Lima
16,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,10,12,9,João Gomes
17,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,16,18,17,Matheus & Kauan
18,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,16,12,MC Rogerinho
19,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,2,14,31,Jorge & Mateus
20,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,20,25,10,Mari Fernandez
21,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,21,22,7,Israel & Rodolffo
22,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,15,15,15,Paulo e Nathan
23,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,19,23,Luan Santana
24,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,5,26,39,Henrique & Juliano
25,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,14,20,8,Mc Don Juan
26,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,26,31,11,Leo Santana
27,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,22,23,16,João Bosco e Gabriel
28,spotify:track:4IX43MpJlpxzRMLb9QayrJ,PERIGO NOTURNO - Ao Vivo,28,43,2,Luan Santana
29,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,15,21,22,Guilherme & Benuto
30,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,2,28,17,Davi Kneip
31,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,31,32,7,Murilo Huff
32,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,30,38,George Henrique & Rodrigo
33,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,18,34,32,Wesley Safadão
34,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,29,38,Henrique & Juliano
35,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,7,27,24,Zé Neto & Cristiano
36,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,27,33,13,MC Braz
37,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,38,33,Gusttavo Lima
38,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,39,39,Henrique & Juliano
39,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,41,39,Marília Mendonça
40,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,2,36,9,Jovem Dionisio
41,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,37,22,PEDRO SAMPAIO
42,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),41,42,7,Kate Bush
43,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,26,35,5,Baco Exu do Blues
44,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,44,24,Zé Felipe
45,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,14,40,15,Matuê
46,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,27,45,15,Harry Styles
47,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,18,46,16,Hugo & Guilherme
48,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,41,48,9,O Tubarão
49,spotify:track:30rrBGpna63eIJ2BrXlWDC,Minha Cópia Atual - Ao Vivo,31,49,15,Henrique & Juliano
50,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,50,63,7,Wesley Safadão
