rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,1,14,Israel & Rodolffo
2,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,2,19,14,Clayton & Romário
3,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,2,2,6,DENNIS
4,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,4,13,2,Luan Santana
5,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,3,5,14,Gustavo Mioto
6,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,6,10,2,Hugo & Guilherme
7,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,4,14,AgroPlay
8,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,2,3,14,Zé Neto & Cristiano
9,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,6,14,Simone Mendes
10,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,7,17,12,Wesley Safadão
11,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,7,7,14,Henrique & Juliano
12,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,8,8,5,Israel & Rodolffo
13,spotify:track:4t6eam3rC9JoNFVkfOHK4s,Pátio do Posto - Ao Vivo,13,15,14,Zé Neto & Cristiano
14,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,14,20,3,Eric Land
15,spotify:track:6dtQM0CXRFJgD7ifUNosZj,Desandei - Ao Vivo,9,57,7,Lauana Prado
16,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,6,9,12,Hugo & Guilherme
