rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,1,16,Israel & Rodolffo
2,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,2,3,4,Luan Santana
3,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,2,2,16,Clayton & Romário
4,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,4,4,4,Hugo & Guilherme
5,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,5,22,2,Mc Livinho
6,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,3,5,16,Gustavo Mioto
7,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,8,16,AgroPlay
8,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,2,6,8,DENNIS
9,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,8,54,16,Grupo Menos É Mais
10,spotify:track:7KWgILiigX4Qr2WFeeerkc,Oi Balde - Ao Vivo,2,11,16,Zé Neto & Cristiano
11,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,13,16,Simone Mendes
12,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,10,10,7,Murilo Huff
13,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,8,9,7,Israel & Rodolffo
14,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",14,42,3,Mc Pedrinho
15,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,7,15,16,Henrique & Juliano
16,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,14,14,5,Eric Land
17,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,7,12,14,Wesley Safadão
18,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,6,19,14,Hugo & Guilherme
19,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,10,20,16,Guilherme & Benuto
20,spotify:track:4PJJAeZfpRFQa4jfIPwMP1,Pátio do Posto - Ao Vivo,13,16,16,Zé Neto & Cristiano
21,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,3,28,16,Matheus & Kauan
