rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,1,1,10,Hugo & Guilherme
2,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,2,6,PEDRO SAMPAIO
3,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Envolver,3,45,3,Anitta
4,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,5,7,Luan Santana
5,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,4,8,Zé Felipe
6,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,3,17,Gusttavo Lima
7,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,5,6,15,Jorge & Mateus
8,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,2,7,14,Xamã
9,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,8,22,George Henrique & Rodrigo
10,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,9,23,Marília Mendonça
11,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,8,10,6,MC Rogerinho
12,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,13,22,Henrique & Juliano
13,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,5,15,23,Henrique & Juliano
14,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,14,23,Henrique & Juliano
15,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,7,11,10,Chefin
16,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,9,12,9,Dj Guuga
17,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,17,—,1,Davi Kneip
18,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,14,16,15,Matheus & Kauan
19,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,18,18,8,Zé Neto & Cristiano
20,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,19,19,6,Gloria Groove
21,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,17,20,Marília Mendonça
22,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,19,24,16,Wesley Safadão
23,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,23,31,6,Luísa Sonza
24,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,10,22,19,Mari Fernandez
25,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,15,36,23,Gusttavo Lima
26,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,12,25,23,Tayrone
27,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,5,23,19,Zé Felipe
28,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",26,26,4,Vulgo FK
29,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,17,20,10,Simone & Simaria
30,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),21,21,8,MC Teteu
31,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,11,28,15,DJ Matt D
32,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,2,27,22,Paulo Pires
33,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,17,32,23,Marília Mendonça
34,spotify:track:71efUiJwL11CRkI5aMplsi,Sentadona (Ai Calica),34,56,3,Davi Kneip
35,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,34,23,Zé Neto & Cristiano
36,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,5,33,23,PEDRO SAMPAIO
37,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,2,35,23,Marília Mendonça
38,spotify:track:3YOxWp8HTyp5FivmCU5p8z,Desgastou - Ao Vivo,38,—,1,Henrique & Juliano
39,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,35,38,6,George Henrique & Rodrigo
