rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,1,1,3,Zé Felipe
2,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,2,2,4,Clayton & Romário
3,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,3,9,AgroPlay
4,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,4,5,7,Zé Neto & Cristiano
5,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,2,4,11,Gustavo Mioto
6,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,6,12,Marília Mendonça
7,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,3,9,9,Henrique & Juliano
8,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,7,8,11,Luan Santana
9,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,3,7,12,Matheus Fernandes
10,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,10,12,Israel & Rodolffo
11,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,11,—,1,Wesley Safadão
12,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,5,13,9,Matheus & Kauan
13,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,7,20,8,Guilherme & Benuto
14,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,14,15,5,Hugo & Guilherme
15,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,15,22,10,Simone Mendes
16,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,16,16,5,Israel & Rodolffo
17,spotify:track:1EabI1QbflYnmXuMKtlzbI,Onde Tu Vai Sentar - Ao Vivo,9,12,5,Gustavo Mioto
18,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,18,—,1,KayBlack
19,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,19,46,2,Henrique & Juliano
20,spotify:track:0AXfTPzrAMfHchWf2aOVfA,Whisky Vagabund0 - Ao Vivo,13,18,3,Lauana Prado
