rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,1,12,Israel & Rodolffo
2,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,2,13,Simone Mendes
3,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,2,3,11,Clayton & Romário
4,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,4,13,AgroPlay
5,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,4,6,13,Zé Neto & Cristiano
6,spotify:track:7tgGpFp1FtgLtqrFB7LNeo,Nem Que Seja Chorando - Ao Vivo,6,11,2,Hugo & Guilherme
7,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,2,7,13,Gustavo Mioto
8,spotify:track:235CP5ItAYMS6usv3C8jkP,DEUS É MUITO BOM - Ao Vivo,5,5,4,Luan Santana
9,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,3,12,13,Henrique & Juliano
10,spotify:track:6dtQM0CXRFJgD7ifUNosZj,Desandei - Ao Vivo,10,14,3,Lauana Prado
11,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,6,15,8,Hugo & Guilherme
12,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,8,8,10,Grupo Menos É Mais
13,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,7,17,13,Guilherme & Benuto
14,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,16,13,Marília Mendonça
15,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,3,13,13,Matheus & Kauan
16,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,7,9,8,Wesley Safadão
17,spotify:track:2slHCHYP7ogpGSsCumJT1a,Fulano - Ao Vivo,9,10,8,Murilo Huff
18,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,18,66,2,MC Caverinha
19,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,18,21,9,Henrique & Juliano
20,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,5,20,13,Israel & Rodolffo
21,spotify:track:4t6eam3rC9JoNFVkfOHK4s,Pátio do Posto - Ao Vivo,21,44,10,Zé Neto & Cristiano
22,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,22,—,1,Israel & Rodolffo
23,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,6,36,6,Gusttavo Lima
24,spotify:track:0GgmNgZbpx4fdSLTqsGCPL,Privacidade - Ao Vivo,12,18,5,Matheus & Kauan
25,spotify:track:0VUUYWVs4xunAkmHLdScfn,Mordidinha Safada,25,27,2,Os Barões Da Pisadinha
26,spotify:track:09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,14,38,12,Hugo & Guilherme
27,spotify:track:74myq4QbO9E8bTtLQuOWYY,Nu,16,22,4,Anitta
28,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,11,43,13,Gustavo Mioto
29,spotify:track:0AXfTPzrAMfHchWf2aOVfA,Whisky Vagabund0 - Ao Vivo,13,25,10,Lauana Prado
30,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,30,50,2,DENNIS
31,spotify:track:0P0k5KoLcxi0kf1jik4v8X,Deixa Eu Viver - Ao Vivo,23,23,4,Mari Fernandez
32,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,28,45,9,Luan Pereira
33,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,13,53,13,Maiara & Maraisa
34,spotify:track:5VffaPUW07vcPADu1PTKjE,Chorando Sem Ver - Ao Vivo,19,24,5,Felipe e Rodrigo
35,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),32,32,4,Matuê
