rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,1,1,11,Gusttavo Lima
2,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,2,2,7,Manu
3,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,2,3,20,Zé Neto & Cristiano
4,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,4,9,8,Simone Mendes
5,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,3,4,5,Tropa do Bruxo
6,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,1,5,18,Gusttavo Lima
7,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Quase Algo - Ao Vivo Em Nova Iorque / 2022,5,7,9,Henrique & Juliano
8,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,8,12,27,Guilherme & Benuto
9,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,4,6,9,Dj GBR
10,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,8,19,Ana Castela
11,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,11,11,16,Henrique & Juliano
12,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,10,21,Zé Neto & Cristiano
13,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,13,49,Marília Mendonça
14,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,2,14,23,Luan Santana
15,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,4,15,11,Luan Pereira
16,spotify:track:7GjAXYuxjuXPbQJzRnNdob,Pane no Sistema,16,28,4,GREGO
17,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,8,27,35,Grupo Menos É Mais
18,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,8,16,16,Gusttavo Lima
19,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),17,17,12,Ana Castela
20,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,18,18,8,Israel & Rodolffo
21,spotify:track:0GTUqRzwAacEI5Pll8YlBA,Amor Não Dá Em Copo - Ao Vivo,21,24,3,Israel & Rodolffo
22,spotify:track:0KhLYwYVhi13hMhxX73m55,MULHER SEGURA - Ao Vivo,9,21,9,Luan Santana
23,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,7,26,40,Guilherme & Benuto
24,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,14,22,9,MC Maneirinho
25,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,3,20,16,Felipe Amorim
26,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,2,34,42,Simone Mendes
