rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,1,7,Gustavo Mioto
2,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,2,19,Guilherme & Benuto
3,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,3,11,Guilherme & Benuto
4,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,3,4,9,Diego & Victor Hugo
5,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,5,5,4,Gusttavo Lima
6,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,3,6,14,Jorge & Mateus
7,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,6,7,15,Mc Paiva ZS
8,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,8,42,Hugo & Guilherme
9,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,9,10,3,Matheus & Kauan
10,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,2,9,13,Hugo & Guilherme
11,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,2,11,26,Jorge & Mateus
12,spotify:track:2orGm2E68ODFYOURjaES62,Felina,12,13,5,WIU
13,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,11,12,13,Matheus & Kauan
14,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,1,17,17,Gusttavo Lima
15,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,3,14,29,Hugo & Guilherme
16,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,13,15,13,Murilo Huff
17,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,1,16,15,Marília Mendonça
18,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,16,18,26,Mari Fernandez
19,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,16,21,23,Israel & Rodolffo
20,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,3,26,32,Matheus Fernandes
21,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,2,19,17,Mc Jacaré
22,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,2,24,12,Luan Santana
23,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,10,25,33,Matheus & Kauan
24,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,7,23,24,Henrique & Juliano
25,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,25,29,4,Dj LK da Escócia
26,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),22,22,6,Sam Smith
27,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,10,28,20,L7NNON
28,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,9,20,31,Paulo e Nathan
29,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,18,27,23,Murilo Huff
30,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,30,31,Gusttavo Lima
31,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,6,32,20,Ana Castela
32,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,27,31,6,Pineapple StormTv
33,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,16,33,13,DJ AK BR
34,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,1,35,29,Luan Santana
35,spotify:track:1t5dhHyXMwdbAcI3EQRqFV,Meio Fio - Ao Vivo,35,39,13,Diego & Victor Hugo
36,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,38,54,Henrique & Juliano
37,spotify:track:2PtpfX7sX870xeOfdTMyx2,Meus Vícios - Ao Vivo,35,37,6,Guilherme & Benuto
38,spotify:track:4eoqnVPLzROP9tDxcFQAAK,Alimentando Vontade,36,36,2,Zé Neto & Cristiano
39,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,35,50,12,Felipe Amorim
40,spotify:track:6TnCI16uLWhyQCrHva9VWj,Te Love - Ao Vivo,39,42,5,Kevi Jonny
41,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,40,40,13,Mc Paiva ZS
42,spotify:track:3pgKhQdt8MNXUhh9698qmi,Tá na Hora do Jair Já Ir Embora,42,—,1,Tiago Doidão
43,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,41,55,Henrique & Juliano
44,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,4,44,31,Felipe Amorim
45,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,11,45,19,MC Tairon
46,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,10,48,25,João Gomes
47,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,27,43,17,Clayton & Romário
48,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,2,49,47,Jorge & Mateus
49,spotify:track:35ovElsgyAtQwYPYnZJECg,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,49,—,1,Rihanna
50,spotify:track:0V3wPSX9ygBnCm8psDIegu,Anti-Hero,34,34,2,Taylor Swift
51,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,15,47,38,Guilherme & Benuto
52,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,5,51,55,Henrique & Juliano
53,spotify:track:7LRjGCQdXzkBJj03e1kHkq,Fala Alguma Coisa - Ao Vivo,46,46,9,Paulo e Nathan
54,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,27,52,31,Harry Styles
55,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,54,54,George Henrique & Rodrigo
56,spotify:track:4QQTPEwqE4Aq7LXSyIgSci,Primeiro Beck Ela Me Mamou,38,53,7,Mc Kitinho
57,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,18,58,32,Hugo & Guilherme
58,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,58,89,3,Felipe e Rodrigo
59,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,59,—,1,MC MENOR HR
60,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,31,60,16,MC Kevin o Chris
61,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,59,28,MC Rogerinho
62,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,62,20,Zé Felipe
63,spotify:track:30rrBGpna63eIJ2BrXlWDC,Minha Cópia Atual - Ao Vivo,31,57,31,Henrique & Juliano
64,spotify:track:5IcPYzR2bkS4W3MabMpi4Z,Melhor Ser uma Saudade,7,55,40,Zé Neto & Cristiano
65,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,22,63,32,João Bosco e Gabriel
