rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,1,1,6,Gusttavo Lima
2,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,2,3,15,Zé Neto & Cristiano
3,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,6,14,Ana Castela
4,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,1,2,13,Gusttavo Lima
5,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,4,5,6,Luan Pereira
6,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,4,16,Zé Neto & Cristiano
7,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,7,7,4,Dj GBR
8,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Quase Algo - Ao Vivo Em Nova Iorque / 2022,8,16,4,Henrique & Juliano
9,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,3,15,36,Henrique & Juliano
10,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,3,12,11,Felipe Amorim
11,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,10,11,MC Kevin o Chris
12,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,12,19,11,Henrique & Juliano
13,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,2,8,18,Luan Santana
14,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,22,37,Simone Mendes
15,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,13,21,22,Guilherme & Benuto
16,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,8,11,11,Gusttavo Lima
17,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,27,36,AgroPlay
18,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,20,32,Israel & Rodolffo
19,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,4,17,18,Hugo & Guilherme
20,spotify:track:0KhLYwYVhi13hMhxX73m55,MULHER SEGURA - Ao Vivo,9,9,4,Luan Santana
21,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,8,26,30,Grupo Menos É Mais
22,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,7,25,35,Guilherme & Benuto
23,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),23,28,7,Ana Castela
24,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,24,24,4,MC Maneirinho
25,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,11,13,17,Diego & Victor Hugo
26,spotify:track:4vdFF0P7oTZoeKvnfIsbh3,Te Esqueci Sem Querer - Ao Vivo Em Brasília,26,35,25,Henrique & Juliano
27,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,6,31,15,Luan Pereira
28,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,12,30,10,Felipe Amorim
29,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,29,29,6,MC Rogerinho
30,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,13,38,30,Zé Neto & Cristiano
31,spotify:track:4dHMuSjpkUcWW3zZehOFj7,Narcisista - Ao Vivo,7,18,13,Maiara & Maraisa
32,spotify:track:0SWDToufOxRVIngk8c1oZi,AMBIENTE ERRADO - Ao Vivo,9,14,10,Luan Santana
33,spotify:track:64I2WXRrFWWxjRh8uTYYQB,Abre A Mente - Ao Vivo Em Brasília,33,41,18,Henrique & Juliano
34,spotify:track:5eID9KNVJV2fDSPQGzQHQg,Oficializar - Ao Vivo,12,23,7,Gusttavo Lima
35,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,36,22,DENNIS
36,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,51,34,Zé Neto & Cristiano
37,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,1,40,16,Mc Livinho
38,spotify:track:3AlJeYu0F3gbttq276kBcM,Tropa dos Covardes,38,69,4,Vinicius Cavalcante
39,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,10,49,21,Murilo Huff
40,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,8,44,21,Israel & Rodolffo
41,spotify:track:4N4Jk8n24I4lkSUdzoS0n7,Alô Tranqueira - Ao Vivo,41,—,1,Zé Neto & Cristiano
42,spotify:track:6MCaEL0pQo1Jg1vlKpMWop,Dois Fugitivos - Ao Vivo,42,58,3,Simone Mendes
43,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,3,43,36,Matheus & Kauan
44,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,47,44,Marília Mendonça
45,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,13,42,17,Kadu Martins
46,spotify:track:1KEhkxdCRb1k8UDHqACgNY,Desandei - Ao Vivo,7,33,23,Lauana Prado
47,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,22,53,37,NATTAN
48,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,48,99,2,Flora Matos
