rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,1,1,4,Gusttavo Lima
2,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,1,2,11,Gusttavo Lima
3,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,3,8,13,Zé Neto & Cristiano
4,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,4,4,4,Luan Pereira
5,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,5,12,Ana Castela
6,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,3,14,Zé Neto & Cristiano
7,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,2,7,16,Luan Santana
8,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,8,11,2,Dj GBR
9,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,8,10,9,Gusttavo Lima
10,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,6,9,MC Kevin o Chris
11,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,3,9,9,Felipe Amorim
12,spotify:track:0SWDToufOxRVIngk8c1oZi,AMBIENTE ERRADO - Ao Vivo,9,13,8,Luan Santana
13,spotify:track:0WrM1ON5poAsmKw3x5uPhD,Narcisista - Ao Vivo,7,18,11,Maiara & Maraisa
14,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,11,17,15,Diego & Victor Hugo
15,spotify:track:0KhLYwYVhi13hMhxX73m55,MULHER SEGURA - Ao Vivo,15,30,2,Luan Santana
16,spotify:track:5eID9KNVJV2fDSPQGzQHQg,Oficializar - Ao Vivo,12,22,5,Gusttavo Lima
17,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,15,34,AgroPlay
