rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,1,1,5,Gusttavo Lima
2,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,1,2,12,Gusttavo Lima
3,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,3,3,14,Zé Neto & Cristiano
4,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,6,15,Zé Neto & Cristiano
5,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,4,4,5,Luan Pereira
6,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,5,13,Ana Castela
7,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,7,8,3,Dj GBR
8,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,2,7,17,Luan Santana
9,spotify:track:0KhLYwYVhi13hMhxX73m55,MULHER SEGURA - Ao Vivo,9,15,3,Luan Santana
10,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,10,10,MC Kevin o Chris
11,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,8,9,10,Gusttavo Lima
12,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,3,11,10,Felipe Amorim
13,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,11,14,16,Diego & Victor Hugo
14,spotify:track:0SWDToufOxRVIngk8c1oZi,AMBIENTE ERRADO - Ao Vivo,9,12,9,Luan Santana
15,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,3,20,35,Henrique & Juliano
16,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Quase Algo - Ao Vivo Em Nova Iorque / 2022,16,34,3,Henrique & Juliano
17,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,4,22,17,Hugo & Guilherme
18,spotify:track:4dHMuSjpkUcWW3zZehOFj7,Narcisista - Ao Vivo,7,13,12,Maiara & Maraisa
19,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,19,26,10,Henrique & Juliano
20,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,18,31,Israel & Rodolffo
21,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,13,21,21,Guilherme & Benuto
22,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,23,36,Simone Mendes
23,spotify:track:5eID9KNVJV2fDSPQGzQHQg,Oficializar - Ao Vivo,12,16,6,Gusttavo Lima
24,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,24,27,3,MC Maneirinho
25,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,7,25,34,Guilherme & Benuto
26,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,8,19,29,Grupo Menos É Mais
