rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,13,Marília Mendonça
2,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,3,13,Simone Mendes
3,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,2,2,11,AgroPlay
4,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,4,4,13,NATTAN
5,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,14,7,Israel & Rodolffo
6,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,6,6,4,KayBlack
7,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,7,9,12,Henrique & Juliano
8,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,3,7,13,WIU
9,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,2,5,6,Zé Felipe
10,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,10,10,11,Matheus & Kauan
11,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,11,13,9,Zé Neto & Cristiano
12,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,4,8,11,MC Xenon
13,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),13,54,2,MC PH
14,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,6,11,13,Israel & Rodolffo
15,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,15,18,3,Grandão Vaqueiro
16,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,4,16,13,Gustavo Mioto
18,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,12,17,9,MC Rogerinho
19,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,8,15,6,MC Kevin o Chris
20,spotify:track:2orGm2E68ODFYOURjaES62,Felina,12,19,13,WIU
21,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,21,23,10,Guilherme & Benuto
22,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,22,35,3,KayBlack
23,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,23,28,4,Henrique & Juliano
24,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,20,13,Leo Santana
25,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,18,26,13,Gusttavo Lima
26,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,26,29,6,Clayton & Romário
27,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,27,27,4,Wesley Safadão
28,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,14,24,13,MC Cabelinho
29,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,29,—,1,Felipe Amorim
30,spotify:track:5v8EhStRWlvoY2qbcZR5R2,Mágica - Ao Vivo,30,41,3,Hugo & Guilherme
31,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,19,31,13,Maiara & Maraisa
32,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,19,22,13,MC Cabelinho
33,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,33,40,4,Luan Pereira
34,spotify:track:6ELMBm3lZFitAZp03GBBNG,Me Atraiu - Ao Vivo,30,30,9,Gabriela Rocha
35,spotify:track:0VhG6qzFZo9JrHu56Wq7gh,* da Anitta,35,—,1,Mc Daniel
36,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,36,71,6,Grupo Menos É Mais
37,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,20,32,13,Matheus Fernandes
38,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,15,33,13,Orochi
39,spotify:track:7aZnuwpivaj4N7XFhhqBiO,Love Absurdo,31,42,11,Mari Fernandez
40,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,37,38,11,Veigh
