rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,1,7,Davi Kneip
2,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,2,5,Felipe Amorim
3,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,3,4,7,Matheus Fernandes
4,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,4,5,5,Matuê
5,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,3,12,PEDRO SAMPAIO
6,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),6,9,4,L7NNON
7,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,7,14,Zé Felipe
8,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,6,25,Anitta
9,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,10,20,Xamã
10,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,4,8,12,MC Rogerinho
11,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,9,12,5,Teto
12,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,12,13,5,Harry Styles
13,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,6,11,16,Hugo & Guilherme
14,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,14,14,5,Gusttavo Lima
15,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,15,26,3,Luan Santana
16,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,6,15,25,George Henrique & Rodrigo
17,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,14,18,22,Wesley Safadão
18,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,21,29,Marília Mendonça
19,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,5,17,25,Mari Fernandez
20,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,16,24,21,Jorge & Mateus
21,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,11,16,13,Luan Santana
22,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,3,19,16,Chefin
23,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,5,20,15,Dj Guuga
24,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,24,47,2,MC Rogerinho
