rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,1,10,L7NNON
2,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,2,2,9,Ana Castela
3,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,1,3,5,Marília Mendonça
4,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,4,4,17,Mari Fernandez
5,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,6,15,João Gomes
6,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,6,10,2,Luan Santana
7,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,7,23,Matheus Fernandes
8,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,8,9,6,Nivaldo Marques
9,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,3,5,6,Luísa Sonza
10,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,2,8,10,Zé Felipe
11,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,11,12,5,Mc Jacaré
12,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,12,16,7,Guilherme & Benuto
13,spotify:track:4NFkcqZ3jU2O9rgEbuluVn,Bafora o Lança - Remix,13,36,2,Mario Mc
14,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,14,19,3,DJ AK BR
15,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,8,14,9,MC Tairon
16,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,11,18,MC Rogerinho
17,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,13,23,Davi Kneip
18,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,16,18,6,MC Kevin o Chris
19,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,14,17,7,Gusttavo Lima
20,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,20,26,4,Mc Paiva ZS
21,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,15,21,Felipe Amorim
22,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,20,21,Matuê
23,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,6,24,32,Hugo & Guilherme
24,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,20,23,16,Jorge & Mateus
25,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,9,25,21,Harry Styles
26,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,9,21,20,Leo Santana
27,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,11,22,13,Wesley Safadão
28,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,9,30,21,Gusttavo Lima
29,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,29,32,10,MC Cabelinho
30,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,13,28,38,Wesley Safadão
31,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,27,27,3,Felipe Amorim
32,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,32,33,22,Matheus & Kauan
33,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,6,31,21,Teto
34,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,11,35,19,Luan Santana
35,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,10,34,13,Mc Don Juan
36,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,16,37,18,MC Braz
37,spotify:track:0skYUMpS0AcbpjcGsAbRGj,Pink Venom,37,—,1,BLACKPINK
38,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,8,29,11,Baco Exu do Blues
39,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,32,38,7,Kadu Martins
40,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,6,41,41,George Henrique & Rodrigo
41,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,30,42,5,Mc Poze do Rodo
42,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,16,51,37,Jorge & Mateus
43,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,5,39,41,Mari Fernandez
44,spotify:track:3QxKHcpNt6CWNUYCLLBHeZ,Escolhe o Bandido,37,40,7,MC CH da Z.O
45,spotify:track:5ildQOEKmJuWGl2vRkFdYc,DESPECHÁ,41,50,4,ROSALÍA
46,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,46,54,12,Israel & Rodolffo
47,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,43,30,Zé Felipe
48,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,17,46,45,Henrique & Juliano
49,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,49,45,Marília Mendonça
50,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,50,57,3,Paulo e Nathan
51,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),11,47,13,Kate Bush
52,spotify:track:2johnzqTeIdgF1kUV4Yaeo,Me Chama de Amor,20,48,15,O Tubarão
53,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,11,55,29,Luan Santana
54,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,44,28,PEDRO SAMPAIO
55,spotify:track:7bh2ybqXcEoIYL8FwiAMou,Intuição - Ao Vivo,45,45,7,Mari Fernandez
56,spotify:track:1XcmAgREOuJQb91sr68AAD,Sentadinha Diferente,52,53,5,Dyamante DJ
57,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,44,59,18,Hugo & Guilherme
58,spotify:track:40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,56,56,3,Mari Fernandez
59,spotify:track:7v3BTjWrmUYjaGiVHVVhCK,Na Rebolada,59,97,2,Os Quebradeiras
60,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,62,45,João Gomes
61,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,61,82,3,Jorge & Mateus
62,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,28,58,11,Teto
63,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,28,68,21,Mc Gabzin
64,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,23,60,26,Pineapple StormTv
65,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,65,74,3,Mc Paiva ZS
66,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,66,78,2,Hugo & Guilherme
67,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,67,69,3,Murilo Huff
68,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,29,61,37,Mc Poze do Rodo
69,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,6,72,39,Gusttavo Lima
70,spotify:track:4aoZBldNDVYmTwmeoI49ud,O Poder Dessa Garota,70,76,8,Mc Gabzin
71,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,5,65,42,Marília Mendonça
72,spotify:track:3v6gYFuAXQcm1EO5yW7yfX,Proteção de Tela,37,63,45,Tarcísio do Acordeon
73,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,65,70,31,Grupo Menos É Mais
74,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,65,75,6,Murilo Huff
75,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,4,52,28,MC Rogerinho
76,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,4,83,45,Henrique & Juliano
77,spotify:track:6sZYCAvTEYjTtQ9Tt5ACbX,São João Chegou,66,66,2,Renanzin Pressão
78,spotify:track:7fzgTaVhUxmEzjtcd9NdWo,Cê Tá Preparada - Ao Vivo,21,95,8,Tayrone
79,spotify:track:1iaPDgTbsKrlznVu13EWIf,ESSÊNCIA DE CRIA,70,86,30,MC Cabelinho
80,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,50,67,19,NATTAN
81,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,44,—,1,Guilherme & Benuto
82,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,30,92,17,Mc Pepeu
83,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,7,71,28,Luísa Sonza
84,spotify:track:13Rf6RaZT13TW4xLQR3MQr,Poesia Acústica #6: Era uma Vez,82,90,25,Pineapple StormTv
85,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,22,—,1,Marília Mendonça
86,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,3,91,5,Marília Mendonça
87,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,73,73,3,NATTAN
88,spotify:track:4PF5eA9ng97UcU5hjaqQnc,Meu Cafofo,48,94,22,João Gomes
89,spotify:track:3QKv1RIrWsLTA63oxscVrZ,Meu Bem,35,93,45,João Gomes
90,spotify:track:3imzmQM2DPPVBLMiBBexRL,202,90,—,1,Kweller
91,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,77,41,Anitta
92,spotify:track:6KKT8dzP21J4WwBp9swjob,Sonho Dos Cria,71,85,10,Filipe Ret
93,spotify:track:4nRa5qkXIfswPbt20rkslI,Debaixo do Cobertor,41,89,10,Felipe Amorim
94,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,2,81,15,Jovem Dionisio
95,spotify:track:0cHflpV8SSGbE0NKaasEfT,F* F* M*,55,—,1,Filipe Ret
96,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,38,—,1,Henrique & Juliano
97,spotify:track:5F2xRvRFkxDvqdFtUNAEyw,Se For Amor,10,96,45,João Gomes
98,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,79,36,Xamã
99,spotify:track:19RJnfs2PjkAooSGjUQqix,Amor ou Esquema,99,—,1,Wesley Safadão
100,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,11,80,33,Mc Don Juan
