rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,1,8,MC MENOR HR
2,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,2,14,Gustavo Mioto
3,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),3,3,8,Kadu Martins
4,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,2,7,35,Mari Fernandez
5,spotify:track:2orGm2E68ODFYOURjaES62,Felina,3,4,13,WIU
6,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,6,9,5,Zé Felipe
7,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,7,10,7,Israel & Rodolffo
8,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,8,8,8,Orochi
9,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,5,5,12,Dj LK da Escócia
10,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,2,6,22,Mc Paiva ZS
11,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,11,67,2,MC K.K
12,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,6,12,25,Guilherme & Benuto
13,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,13,34,3,Marília Mendonça
14,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,11,11,6,DJ Dozabri
15,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,5,14,17,Guilherme & Benuto
16,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,10,16,21,Felipe Amorim
17,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,15,28,L7NNON
18,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,14,17,10,Matheus & Kauan
19,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,13,15,Pineapple StormTv
20,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,19,19,3,WIU
21,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,1,21,23,Marília Mendonça
22,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,23,33,João Gomes
23,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,22,41,Matheus Fernandes
24,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,6,28,50,Hugo & Guilherme
25,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,16,18,28,MC Cabelinho
26,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,10,26,21,Jorge & Mateus
27,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,25,25,5,Felipe e Rodrigo
