rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,1,9,MC MENOR HR
2,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,2,15,Gustavo Mioto
3,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),3,3,9,Kadu Martins
4,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,4,13,4,Marília Mendonça
5,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,5,11,3,MC K.K
6,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,6,6,6,Zé Felipe
7,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,2,4,36,Mari Fernandez
8,spotify:track:2orGm2E68ODFYOURjaES62,Felina,3,5,14,WIU
9,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,7,7,8,Israel & Rodolffo
10,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,8,8,9,Orochi
11,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,2,10,23,Mc Paiva ZS
12,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,5,9,13,Dj LK da Escócia
13,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),13,31,2,Luísa Sonza
14,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,14,20,4,WIU
15,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,6,12,26,Guilherme & Benuto
16,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,11,14,7,DJ Dozabri
17,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,5,15,18,Guilherme & Benuto
18,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,10,16,22,Felipe Amorim
19,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,17,29,L7NNON
