rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,8,Xamã
2,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,2,13,Zé Felipe
3,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,28,2,Zé Felipe
4,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,3,3,4,Chefin
5,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,5,5,13,Mari Fernandez
6,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,6,17,Marília Mendonça
7,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,6,7,13,George Henrique & Rodrigo
8,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,8,9,4,Hugo & Guilherme
9,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,2,4,17,PEDRO SAMPAIO
10,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,6,8,11,Gusttavo Lima
11,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,3,10,16,Paulo Pires
12,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,10,11,9,DJ Matt D
13,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,5,12,14,Marília Mendonça
14,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,11,13,9,Anitta
15,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,15,32,3,Dj Guuga
16,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,14,14,10,Wesley Safadão
17,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,16,16,2,Anitta
18,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,18,22,5,Mc Don Juan
19,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,18,18,9,Jorge & Mateus
20,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,4,17,17,Henrique & Juliano
21,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,17,20,8,Melody
22,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,2,19,17,Zé Felipe
23,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,15,15,9,Luísa Sonza
24,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,24,26,4,Jão
25,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,3,23,17,Marília Mendonça
