rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,7,Xamã
2,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,2,12,Zé Felipe
3,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,3,6,3,Chefin
4,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,2,3,16,PEDRO SAMPAIO
5,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,5,5,12,Mari Fernandez
6,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,4,16,Marília Mendonça
7,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,6,8,12,George Henrique & Rodrigo
8,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,6,7,10,Gusttavo Lima
9,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,9,9,3,Hugo & Guilherme
10,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,3,11,15,Paulo Pires
11,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,10,10,8,DJ Matt D
12,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,5,12,13,Marília Mendonça
13,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,11,13,8,Anitta
14,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,14,22,9,Wesley Safadão
15,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,15,18,8,Luísa Sonza
16,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,16,—,1,Anitta
17,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,4,14,16,Henrique & Juliano
18,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,18,20,8,Jorge & Mateus
19,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,2,16,16,Zé Felipe
20,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,17,17,7,Melody
21,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,5,15,16,Felipe Amorim
22,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,22,30,4,Mc Don Juan
23,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,3,19,16,Marília Mendonça
24,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,23,16,João Gomes
25,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,8,24,16,Tarcísio do Acordeon
26,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,26,45,3,Jão
27,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,17,25,16,Henrique & Juliano
28,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,28,—,1,Zé Felipe
29,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,21,16,Avine Vinny
30,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,10,26,14,MC Levin
31,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,12,28,15,Marina Sena
32,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,32,86,2,Dj Guuga
33,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,21,27,16,Tayrone
34,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,12,29,16,Matheus Fernandes
35,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,15,32,16,Zé Neto & Cristiano
36,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,34,34,5,Matuê
37,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,31,31,10,Mc Davi
38,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,14,33,16,Japãozin
39,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,39,44,4,Matheus & Kauan
40,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,40,70,2,Simone & Simaria
41,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,4,35,16,DG e Batidão Stronda
