rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,1,8,João Gomes
2,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,3,16,Matheus Fernandes
3,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,2,2,3,Zé Felipe
4,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,4,12,3,L7NNON
5,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,4,14,Felipe Amorim
6,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,5,11,MC Rogerinho
7,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,6,7,10,Mari Fernandez
8,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,6,16,Davi Kneip
9,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,9,32,2,MC Tairon
10,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,9,10,13,Leo Santana
11,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,9,14,Matuê
12,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),11,22,6,Kate Bush
13,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,8,8,4,Baco Exu do Blues
14,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,10,11,6,Mc Don Juan
15,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,9,18,14,Harry Styles
16,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,13,21,PEDRO SAMPAIO
17,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,6,14,14,Teto
18,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,11,19,12,Luan Santana
19,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,9,21,14,Gusttavo Lima
20,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,6,17,25,Hugo & Guilherme
21,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,2,15,8,Jovem Dionisio
22,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,16,16,11,MC Braz
23,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,13,20,31,Wesley Safadão
24,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,24,23,Zé Felipe
25,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,20,25,8,O Tubarão
26,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,26,33,6,Wesley Safadão
27,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,23,29,Xamã
28,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,5,29,34,Mari Fernandez
29,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,29,80,2,Ana Castela
