rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,10,DENNIS
2,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,2,2,6,Mc Livinho
3,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,3,3,8,Kadu Martins
4,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,4,4,11,Veigh
5,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,1,5,27,Simone Mendes
6,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,6,7,3,Vulgo FK
7,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",6,6,6,Mc Pedrinho
8,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,2,9,25,AgroPlay
9,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,7,10,20,Grupo Menos É Mais
10,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),10,98,2,MC Kevin o Chris
11,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,3,11,21,Israel & Rodolffo
12,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,12,16,4,Ana Castela
13,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",6,8,6,Dyamante DJ
14,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,4,15,28,NATTAN
15,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",11,12,7,Melody
16,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,6,13,23,Zé Neto & Cristiano
17,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,14,34,Marília Mendonça
18,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,18,18,7,Leo Santana
19,spotify:track:6F0ldIcRC6oCcn3hDukg9T,Cadê Seu Namorado Moça?,11,17,10,Thales Lessa
20,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,12,21,14,MC Kevin o Chris
21,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,19,14,Matuê
22,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,9,27,25,Matheus & Kauan
23,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,23,30,9,Eric Land
24,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,13,26,24,Guilherme & Benuto
25,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,17,24,11,Veigh
26,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,3,20,12,MC Caverinha
27,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,6,22,18,KayBlack
28,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,25,28,8,Luan Santana
29,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,7,25,26,Henrique & Juliano
30,spotify:track:3fkLH5wAzni4mcXl4c6cAC,Sinal,20,23,10,Nadson O Ferinha
31,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,31,—,1,Felipe Amorim
32,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,32,40,4,Luan Pereira
33,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,32,32,10,Guilherme & Benuto
