rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,4,DENNIS
2,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,1,2,14,Simone Mendes
3,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,2,3,14,AgroPlay
4,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,4,4,5,Veigh
5,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,3,5,14,Israel & Rodolffo
6,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,6,14,Marília Mendonça
7,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,6,7,14,Zé Neto & Cristiano
8,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,3,8,6,MC Caverinha
9,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,9,9,14,Grupo Menos É Mais
10,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,4,10,14,NATTAN
11,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,6,12,12,KayBlack
12,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,11,8,Matuê
13,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,9,14,14,Matheus & Kauan
14,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,12,13,8,MC Kevin o Chris
15,spotify:track:6MpYP4LUSb1MWfpsdToKyH,Duas,15,20,7,Nadson O Ferinha
16,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,7,16,14,Henrique & Juliano
17,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,3,15,14,WIU
18,spotify:track:6F0ldIcRC6oCcn3hDukg9T,Cadê Seu Namorado Moça?,18,26,4,Thales Lessa
19,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,13,19,14,Guilherme & Benuto
20,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,17,17,5,Veigh
21,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,8,18,14,Israel & Rodolffo
22,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,12,23,14,MC Rogerinho
23,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,23,24,5,MC Guh SR
24,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,18,22,11,KayBlack
25,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,10,21,14,Gustavo Mioto
26,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,26,30,14,Gustavo Mioto
27,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,21,25,11,KayBlack
