rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,10,Marília Mendonça
3,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,3,3,10,WIU
4,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,4,5,9,NATTAN
5,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,4,4,6,MC Xenon
6,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,3,7,6,AgroPlay
7,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,6,8,Leo Santana
8,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,8,—,1,MC Kevin o Chris
9,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,4,8,10,Israel & Rodolffo
10,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,3,9,10,Gustavo Mioto
11,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,10,10,7,Henrique & Juliano
12,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,12,16,4,MC Rogerinho
13,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,13,21,4,Zé Neto & Cristiano
14,spotify:track:2orGm2E68ODFYOURjaES62,Felina,9,12,10,WIU
15,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,15,20,8,Simone Mendes
16,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,9,11,10,Mc Tato
17,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,17,—,1,Zé Felipe
18,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),8,14,10,Kadu Martins
19,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,3,13,10,DJ Jeeh FDC
20,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,20,25,6,Matheus & Kauan
21,spotify:track:6B5Nqt8DAciT2oqevzGbUc,Pilantra,21,72,2,Jão
22,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Flowers,2,17,10,Miley Cyrus
23,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,2,19,10,MC MENOR HR
24,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,14,18,10,MC Cabelinho
25,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,23,24,8,Gusttavo Lima
26,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,20,26,9,Matheus Fernandes
27,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,5,15,10,Anitta
28,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,20,27,10,MC Cabelinho
29,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,13,22,10,Orochi
30,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,3,28,7,Zé Felipe
31,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,31,42,2,Israel & Rodolffo
32,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,13,30,10,Sony no Beat
33,spotify:track:3YQvZNmRc2y1hgdvustkce,MINHA CURA,26,29,9,MC Cabelinho
34,spotify:track:3O2wrDL7nnSDZOrdZqxyoY,Noite Fria,34,34,2,Mc IG
35,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,35,38,5,Guilherme & Benuto
36,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,11,39,10,Zé Felipe
37,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,19,32,10,Maiara & Maraisa
38,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,17,33,10,Pineapple StormTv
39,spotify:track:7aZnuwpivaj4N7XFhhqBiO,Love Absurdo,31,31,6,Mari Fernandez
40,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,30,44,8,Gustavo Mioto
41,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,21,35,10,MC Ryan SP
42,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),10,36,10,Luísa Sonza
43,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,43,46,10,MC Cabelinho
44,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,39,48,7,Mc Paiva ZS
45,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,18,40,10,Matheus & Kauan
46,spotify:track:4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,18,23,4,The Weeknd
47,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,47,52,6,Veigh
48,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,17,49,10,Mc Paiva ZS
49,spotify:track:5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,23,47,10,Guilherme & Benuto
50,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,29,51,10,Harry Styles
51,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,5,50,10,MC K.K
52,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,16,43,10,Guilherme & Benuto
53,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,28,54,10,Jorge & Mateus
54,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,25,37,10,Mc Jacaré
55,spotify:track:1a5LfJGq0vuCWQ9Mme0Ac7,Deserto (Ao Vivo),55,55,10,Maria Marçal
56,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,13,45,8,Teto
57,spotify:track:6ELMBm3lZFitAZp03GBBNG,Me Atraiu - Ao Vivo,57,58,4,Gabriela Rocha
58,spotify:track:2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,50,59,4,KayBlack
60,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,31,57,10,Ana Castela
61,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,32,53,10,SZA
62,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,33,56,10,Israel & Rodolffo
63,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,35,60,9,Naiara Azevedo
64,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,18,41,10,Mari Fernandez
65,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,65,89,2,Hugo & Guilherme
66,spotify:track:7CIj5SFTB6WPJrYjLZN5bp,Pega o Guanabara - Ao Vivo,37,61,10,Wesley Safadão
67,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,43,67,8,Luan Santana
68,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,31,62,10,Felipe e Rodrigo
69,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,29,66,10,Felipe Amorim
70,spotify:track:4ChIBnH5lO5thSaNeMV0oE,BEBÊ TÁ SOLTA,70,90,2,Yuri Redicopa
71,spotify:track:0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,41,65,10,Yago Oproprio
72,spotify:track:72vwG7lcOTPgT2YgYpg505,Hackearam-me,72,—,1,Marília Mendonça
73,spotify:track:3AJwUDP919kvQ9QcozQPxg,Yellow,73,80,2,Coldplay
74,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),29,63,10,Sam Smith
75,spotify:track:3xCkNUiap7EBjqnRldHSSh,Coladin (Minha Deusa),49,73,7,Zé Vaqueiro
76,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,57,68,10,Matuê
77,spotify:track:5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,74,74,10,Arctic Monkeys
78,spotify:track:52kcarcX0FQ6wPulXm2bMJ,Meca Cereja,46,71,10,Vulgo FK
