rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,1,9,Davi Kneip
2,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,2,7,Felipe Amorim
3,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,3,4,9,Matheus Fernandes
4,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,3,7,Matuê
5,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,5,—,1,João Gomes
6,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,6,7,4,MC Rogerinho
7,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,5,14,PEDRO SAMPAIO
8,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,6,6,7,Teto
9,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,9,9,7,Gusttavo Lima
10,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,8,16,Zé Felipe
11,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,12,22,Xamã
12,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,12,14,5,Luan Santana
13,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,4,16,14,MC Rogerinho
14,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),6,11,6,L7NNON
15,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,6,13,18,Hugo & Guilherme
16,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,12,15,7,Harry Styles
17,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),17,19,3,Anitta
18,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,14,17,24,Wesley Safadão
19,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,10,27,Anitta
20,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,16,18,23,Jorge & Mateus
21,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,5,23,27,Mari Fernandez
22,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,11,20,15,Luan Santana
23,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,6,21,27,George Henrique & Rodrigo
24,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,24,31,Marília Mendonça
25,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,5,25,17,Dj Guuga
26,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,6,22,25,Gusttavo Lima
27,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,27,28,4,Mc Delux
28,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,28,32,7,Mc Gabzin
29,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,17,27,31,Henrique & Juliano
30,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,30,37,4,MC Braz
31,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,23,26,12,Pineapple StormTv
32,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,3,31,18,Chefin
33,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,33,40,6,Leo Santana
34,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,11,38,19,Mc Don Juan
35,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,29,33,23,Mc Poze do Rodo
36,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,36,42,3,Mc Pepeu
37,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,4,29,31,Henrique & Juliano
38,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,8,36,14,Gloria Groove
39,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,33,35,14,Zé Neto & Cristiano
40,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,7,30,14,Luísa Sonza
