rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,1,8,Gustavo Mioto
2,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,2,2,29,Mari Fernandez
3,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,2,3,16,Mc Paiva ZS
4,spotify:track:2orGm2E68ODFYOURjaES62,Felina,4,4,7,WIU
5,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,5,34,2,MC MENOR HR
6,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,6,7,19,Guilherme & Benuto
7,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,5,9,Pineapple StormTv
8,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,8,—,1,Israel & Rodolffo
9,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,5,6,11,Guilherme & Benuto
10,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,10,10,15,Felipe Amorim
11,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,8,22,L7NNON
12,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,10,13,6,Dj LK da Escócia
13,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,9,35,Matheus Fernandes
14,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,12,15,6,Gusttavo Lima
15,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,15,23,4,Matheus & Kauan
16,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,12,27,João Gomes
17,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),7,14,8,Sam Smith
18,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,16,16,22,MC Cabelinho
19,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,14,17,10,Diego & Victor Hugo
20,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,1,11,17,Marília Mendonça
21,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,21,55,2,Orochi
22,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,22,33,Felipe Amorim
23,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,9,26,32,Leo Santana
