rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,1,4,Gustavo Mioto
2,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,2,2,12,Mc Paiva ZS
3,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,2,3,25,Mari Fernandez
4,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,4,5,Pineapple StormTv
5,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,5,18,L7NNON
6,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,6,7,7,Guilherme & Benuto
7,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),7,9,4,Sam Smith
8,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,6,31,Matheus Fernandes
9,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,9,10,15,Guilherme & Benuto
10,spotify:track:2orGm2E68ODFYOURjaES62,Felina,10,15,3,WIU
11,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,8,23,João Gomes
12,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,12,41,2,Gusttavo Lima
13,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,1,12,13,Marília Mendonça
14,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,10,14,11,Felipe Amorim
15,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,11,17,Ana Castela
16,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,10,23,11,Jorge & Mateus
17,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,16,29,Felipe Amorim
18,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,18,25,6,Diego & Victor Hugo
19,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,4,13,10,Luan Santana
20,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,6,20,40,Hugo & Guilherme
21,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,21,26,18,MC Cabelinho
22,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,9,21,29,Harry Styles
23,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,9,29,28,Leo Santana
24,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,22,29,Matuê
25,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,9,17,15,Gusttavo Lima
26,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,26,42,2,Dj LK da Escócia
27,spotify:track:6TnCI16uLWhyQCrHva9VWj,Te Love - Ao Vivo,27,38,3,Kevi Jonny
28,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,9,18,11,DJ AK BR
29,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,19,26,MC Rogerinho
30,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,8,24,17,MC Tairon
31,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,8,27,14,Nivaldo Marques
32,spotify:track:40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,32,46,11,Mari Fernandez
33,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,11,28,13,Mc Jacaré
34,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,17,34,24,Jorge & Mateus
35,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,35,67,11,Mc Paiva ZS
36,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,16,30,14,MC Kevin o Chris
37,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,2,35,18,Zé Felipe
38,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,11,33,21,Wesley Safadão
39,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,33,39,8,Matheus & Kauan
40,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,40,57,3,MC Cabelinho
