rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,1,6,Gustavo Mioto
2,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,2,3,27,Mari Fernandez
3,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,2,2,14,Mc Paiva ZS
4,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,4,7,Pineapple StormTv
5,spotify:track:2orGm2E68ODFYOURjaES62,Felina,5,6,5,WIU
6,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,5,5,9,Guilherme & Benuto
7,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,7,20,L7NNON
8,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,10,33,Matheus Fernandes
9,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,9,9,17,Guilherme & Benuto
10,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,10,13,4,Dj LK da Escócia
11,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,11,25,João Gomes
12,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,12,15,4,Gusttavo Lima
13,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),7,8,6,Sam Smith
14,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,10,18,13,Felipe Amorim
15,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,14,14,8,Diego & Victor Hugo
16,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,1,16,15,Marília Mendonça
17,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,10,17,13,Jorge & Mateus
18,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,18,21,20,MC Cabelinho
19,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,19,19,Ana Castela
20,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,20,31,Felipe Amorim
21,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,22,31,Matuê
22,spotify:track:6TnCI16uLWhyQCrHva9VWj,Te Love - Ao Vivo,22,25,5,Kevi Jonny
23,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,6,23,42,Hugo & Guilherme
24,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,4,26,12,Luan Santana
25,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,9,24,30,Leo Santana
26,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,29,28,MC Rogerinho
27,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,9,28,17,Gusttavo Lima
28,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,9,27,31,Harry Styles
29,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,9,30,13,DJ AK BR
30,spotify:track:0V3wPSX9ygBnCm8psDIegu,Anti-Hero,12,12,2,Taylor Swift
31,spotify:track:35ovElsgyAtQwYPYnZJECg,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,31,—,1,Rihanna
32,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,8,33,16,Nivaldo Marques
33,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,8,31,19,MC Tairon
34,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,34,36,5,MC Cabelinho
35,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,35,59,2,Matheus & Kauan
36,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,17,37,26,Jorge & Mateus
37,spotify:track:3pgKhQdt8MNXUhh9698qmi,Tá na Hora do Jair Já Ir Embora,37,—,1,Tiago Doidão
38,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,11,35,15,Mc Jacaré
39,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,11,40,23,Wesley Safadão
40,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,2,41,20,Zé Felipe
41,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,16,42,16,MC Kevin o Chris
42,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,35,38,13,Mc Paiva ZS
43,spotify:track:40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,32,39,13,Mari Fernandez
44,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,32,45,17,Kadu Martins
45,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,33,43,10,Matheus & Kauan
46,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,41,51,13,Murilo Huff
47,spotify:track:5IgjP7X4th6nMNDh4akUHb,Under The Influence,44,47,8,Chris Brown
48,spotify:track:4QQTPEwqE4Aq7LXSyIgSci,Primeiro Beck Ela Me Mamou,36,49,7,Mc Kitinho
49,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,50,33,Davi Kneip
50,spotify:track:3euydCfGHLFjuwHA7G7AUJ,Aqui Na Parma Tu Vem Pra Fuder,50,—,1,DJ CIRILO DE CAXIAS
51,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,51,54,5,Beyoncé
52,spotify:track:4nRa5qkXIfswPbt20rkslI,Debaixo do Cobertor,41,66,6,Felipe Amorim
53,spotify:track:3imzmQM2DPPVBLMiBBexRL,202,30,53,11,Kweller
54,spotify:track:0K3u2t8YNuJ5NR9lKC1frv,AMEIANOITE,54,84,2,Pabllo Vittar
55,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),41,46,6,David Guetta
56,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,6,57,31,Teto
57,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,28,58,32,Matheus & Kauan
58,spotify:track:5wAoMzm5LaIvGED0JNeBfY,Cão Sem Dono,58,69,3,Mari Fernandez
59,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,10,60,23,Mc Don Juan
60,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,30,48,15,Mc Poze do Rodo
61,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,62,55,Marília Mendonça
62,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,5,56,51,Mari Fernandez
63,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,44,63,22,Israel & Rodolffo
64,spotify:track:3EM71GPnUGJ75uDhkH77pq,Insônia - Ao Vivo,42,74,10,LUDMILLA
65,spotify:track:58VUikMywNpRelwEx8khdh,Mel do Egito,65,77,3,Leandro e as Abusadas
66,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,35,65,12,Hugo & Guilherme
67,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,3,61,16,Luísa Sonza
68,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,9,70,31,Gusttavo Lima
69,spotify:track:5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,59,67,8,Arctic Monkeys
70,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,13,75,48,Wesley Safadão
71,spotify:track:7bh2ybqXcEoIYL8FwiAMou,Intuição - Ao Vivo,45,68,17,Mari Fernandez
72,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,16,72,28,MC Braz
73,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,6,76,51,George Henrique & Rodrigo
74,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,86,55,João Gomes
75,spotify:track:5mJFh4iRzgmWuEVPG8257V,Quem Não Conhece Tá Sem Internet,75,83,4,MC Marks
76,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,4,79,55,Henrique & Juliano
77,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,34,34,2,Taylor Swift
78,spotify:track:2rtsT3CefzKc05JdAm8aQ5,Digo ou Não Digo - Ao Vivo,78,—,1,João Gomes
79,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Midnight Rain,44,44,2,Taylor Swift
80,spotify:track:3v6gYFuAXQcm1EO5yW7yfX,Proteção de Tela,37,100,55,Tarcísio do Acordeon
81,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,8,78,21,Baco Exu do Blues
82,spotify:track:13Rf6RaZT13TW4xLQR3MQr,Poesia Acústica #6: Era uma Vez,60,81,35,Pineapple StormTv
83,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,29,90,47,Mc Poze do Rodo
84,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,23,85,36,Pineapple StormTv
85,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,44,93,28,Hugo & Guilherme
86,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,62,87,41,Grupo Menos É Mais
87,spotify:track:3QKv1RIrWsLTA63oxscVrZ,Meu Bem,35,—,1,João Gomes
88,spotify:track:2zpiccjPSl315SqthyDf9j,Na Movimentação (feat. Faixa Rosa),73,82,8,Mc Livinho
89,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,28,91,21,Teto
90,spotify:track:5cCwZJUf8QiCQGnyakhpmF,Papo de Agustinho,88,88,2,Oruam
91,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,11,96,29,Luan Santana
92,spotify:track:1iaPDgTbsKrlznVu13EWIf,ESSÊNCIA DE CRIA,70,98,8,MC Cabelinho
93,spotify:track:7G2LNG0EDgU5IyeeP6pevW,Pode Apostar - Ao Vivo,72,97,3,Mari Fernandez
94,spotify:track:3QxKHcpNt6CWNUYCLLBHeZ,Escolhe o Bandido,37,—,1,MC CH da Z.O
95,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,17,94,7,Henrique & Juliano
96,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,73,—,1,NATTAN
97,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,83,92,3,The Neighbourhood
98,spotify:track:19RJnfs2PjkAooSGjUQqix,Amor ou Esquema,66,—,1,Wesley Safadão
99,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,54,—,1,Filipe Ret
100,spotify:track:3AJwUDP919kvQ9QcozQPxg,Yellow,26,99,8,Coldplay
