rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,1,10,MC Kevin o Chris
2,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,2,2,9,Felipe Amorim
3,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,3,6,2,Dj GBR
4,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,3,3,28,Grupo Menos É Mais
5,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,4,4,8,Felipe Amorim
6,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,5,18,DENNIS
7,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,7,8,4,Luan Pereira
8,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,5,9,11,Vulgo FK
9,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,9,11,12,Ana Castela
10,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,4,12,19,Veigh
11,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,2,10,14,Mc Livinho
12,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,12,19,5,MC Rogerinho
13,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,3,13,16,Kadu Martins
14,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,2,7,4,Luísa Sonza
15,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,1,14,35,Simone Mendes
16,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,2,15,33,AgroPlay
17,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,4,16,36,NATTAN
18,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,18,28,4,Gusttavo Lima
19,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,16,24,4,Luísa Sonza
20,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",11,18,15,Melody
21,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,3,17,29,Israel & Rodolffo
22,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,22,32,3,Zé Neto & Cristiano
23,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,18,21,17,Eric Land
