rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,1,7,Davi Kneip
2,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,2,12,PEDRO SAMPAIO
3,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,3,4,5,Felipe Amorim
4,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,3,16,Hugo & Guilherme
5,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,5,7,5,Gusttavo Lima
6,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,6,12,3,Luan Santana
7,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,6,8,5,Matuê
8,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,6,20,Xamã
9,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),9,9,4,L7NNON
10,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,3,5,13,Luan Santana
11,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,10,10,5,Matheus Fernandes
12,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,13,28,George Henrique & Rodrigo
13,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,15,21,Jorge & Mateus
14,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,13,16,5,Teto
15,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,11,14,Zé Felipe
16,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,14,9,Anitta
17,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,17,18,6,Mc Gabzin
18,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,16,17,14,Zé Neto & Cristiano
19,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,19,38,4,MC Braz
20,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,20,23,Gusttavo Lima
21,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,21,50,2,Mc Delux
22,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,4,21,16,Chefin
23,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,19,29,Henrique & Juliano
24,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,24,24,12,Guilherme & Benuto
25,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,11,23,29,Henrique & Juliano
26,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,25,29,Marília Mendonça
27,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,11,22,12,MC Rogerinho
28,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,28,29,5,Harry Styles
29,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,24,28,28,Henrique & Juliano
30,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",12,26,10,Vulgo FK
31,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,27,30,7,Matheus & Kauan
32,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,10,27,12,Gloria Groove
33,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,18,31,22,Wesley Safadão
34,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,33,21,DJ Matt D
35,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,6,32,24,Mari Fernandez
36,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,34,26,Marília Mendonça
37,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,37,40,3,Hugo & Guilherme
38,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,35,35,12,George Henrique & Rodrigo
39,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,15,36,18,Matheus & Kauan
40,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,35,44,21,Mc Poze do Rodo
41,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,41,—,1,Mc Pepeu
42,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,15,43,29,Tayrone
43,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,32,47,10,Pineapple StormTv
44,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,3,39,25,Zé Felipe
45,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,18,41,12,Luísa Sonza
46,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,6,42,27,Paulo Pires
47,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,9,45,15,Dj Guuga
48,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,3,46,29,PEDRO SAMPAIO
49,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),49,—,1,Anitta
50,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,45,48,6,Hugo & Guilherme
51,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),11,37,15,MC Teteu
52,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,34,51,26,Marília Mendonça
53,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,53,57,4,L7NNON
54,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,54,56,5,João Bosco e Gabriel
55,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,38,55,18,Matuê
56,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,56,—,1,MC Rogerinho
57,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,17,54,13,LUDMILLA
58,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,33,67,15,Jão
59,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,22,52,15,Mc Don Juan
60,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,22,49,28,Mc Davi
61,spotify:track:2VATVdFqb7QqxfAcQPvNpc,Ex Alcoolizado - Ao Vivo,61,79,5,Israel & Rodolffo
62,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,48,60,28,Elton John
63,spotify:track:0EMAzKGOFxJgG9vHsm7ciF,Eu Vou Machucar Só um Pouquinho X Catucando Gostosinho,50,53,11,JC NO BEAT
64,spotify:track:1gKXrwKn5ub6wyefqMsnZp,Joga na Cara,58,58,11,MC Braz
65,spotify:track:0bvLxd9bUAYGKkpMYdR60F,Mal Caminho,59,59,5,DJ JOAO DA INESTAN
66,spotify:track:6W56j9ijl9n2l76Hs4hgGn,Larga AÍ Pra Ver - Ao Vivo,66,75,3,Léo & Raphael
67,spotify:track:0VF2XFdgeID7448iU2Vyg9,Novinha Malada do Insta,26,61,15,MC Josh
68,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),28,62,29,Lil Nas X
69,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,13,64,16,Simone & Simaria
70,spotify:track:4HpRywZJgzkXXYLKJ0mLiY,Minha Cópia Atual - Ao Vivo,70,77,4,Henrique & Juliano
71,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,63,29,Zé Felipe
72,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,10,70,29,Matuê
73,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,73,76,9,Filipe Ret
74,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,8,72,29,Marília Mendonça
75,spotify:track:2gkKA2pRAsMzbiGPo9gxsc,Água Nos Zói - Ao Vivo,30,69,28,Clayton & Romário
76,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,23,68,29,Max e Luan
77,spotify:track:0eumeycOAI8ew5qRzFJbEr,Mágico do Som,65,65,4,MC WM
78,spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),47,74,18,The Kid LAROI
79,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,6,66,29,Gusttavo Lima
80,spotify:track:5rz7ZQkMpQHGDXC62P2Axw,ESSE É LADRÃO,48,71,15,DJ BRUNIN DA NT
