rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,10,AgroPlay
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,13,Marília Mendonça
3,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,3,13,Israel & Rodolffo
4,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,4,8,10,Matheus & Kauan
5,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,5,6,8,Zé Neto & Cristiano
6,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,6,7,9,Guilherme & Benuto
7,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,4,5,9,MC Xenon
8,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,5,9,10,Henrique & Juliano
9,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,4,4,4,Zé Felipe
10,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,10,10,11,Simone Mendes
11,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,11,15,6,Israel & Rodolffo
12,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,12,13,5,MC Kevin o Chris
13,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,3,12,13,Gustavo Mioto
14,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,6,11,13,WIU
15,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,15,17,4,Luan Pereira
16,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,9,18,13,Ana Castela
17,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,17,19,5,Clayton & Romário
18,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,12,22,12,Gustavo Mioto
19,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,14,14,11,Gusttavo Lima
21,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,5,20,13,Mc Tato
22,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,10,24,13,Maiara & Maraisa
23,spotify:track:5v8EhStRWlvoY2qbcZR5R2,Mágica - Ao Vivo,23,60,2,Hugo & Guilherme
24,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,24,44,3,Henrique & Juliano
25,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,16,26,13,Naiara Azevedo
