rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,1,4,MC Kevin o Chris
2,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,1,2,8,Mc Livinho
3,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,3,13,DENNIS
4,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,6,28,AgroPlay
5,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,5,7,7,Luan Pereira
6,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,5,5,6,Ana Castela
7,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",3,4,9,Mc Pedrinho
8,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,8,29,Simone Mendes
9,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,9,24,Israel & Rodolffo
10,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,10,10,5,Vulgo FK
11,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,9,11,23,Grupo Menos É Mais
12,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,5,13,13,Veigh
13,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,13,14,10,Luan Santana
14,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,12,12,8,Kadu Martins
15,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,15,37,2,Felipe Amorim
16,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,15,27,Guilherme & Benuto
17,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,17,18,5,Gusttavo Lima
18,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,4,17,26,Zé Neto & Cristiano
19,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,19,21,8,Zé Neto & Cristiano
20,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",7,16,8,Dyamante DJ
21,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,18,19,14,Guilherme & Benuto
22,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,4,20,28,Matheus & Kauan
23,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,5,24,28,Henrique & Juliano
24,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",20,22,8,Melody
25,spotify:track:2uGk60j3LR5bp6tGq9vtII,Halls na Língua - Remix,23,23,4,GORDÃO DO PC
26,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,12,25,30,Gustavo Mioto
27,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,27,35,Marília Mendonça
28,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,1,29,41,Israel & Rodolffo
29,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,16,30,17,MC Kevin o Chris
30,spotify:track:5vdQUAFncALEH9EQvyAqIX,Forte Forte de Lacoste - Pra Começar o Final de Semana,26,26,9,DJ Jeeh FDC
31,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,31,97,2,Felipe Amorim
32,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,4,31,14,MC Caverinha
33,spotify:track:1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,13,33,23,Clayton & Romário
34,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,22,35,15,Zé Neto & Cristiano
35,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,12,34,20,Hugo & Guilherme
36,spotify:track:0WrM1ON5poAsmKw3x5uPhD,Narcisista - Ao Vivo,36,39,5,Maiara & Maraisa
37,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,36,36,12,Israel & Rodolffo
38,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,38,53,3,Gusttavo Lima
39,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,14,32,14,MC Guh SR
40,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,10,28,22,Luan Pereira
41,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,38,38,9,Diego & Victor Hugo
42,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),5,40,16,Matuê
43,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,41,43,9,Murilo Huff
