rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,1,1,8,George Henrique & Rodrigo
2,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,3,9,Henrique & Juliano
3,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,2,9,Marília Mendonça
4,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,3,5,9,PEDRO SAMPAIO
5,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,2,4,7,MC Levin
6,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,6,9,5,Zé Felipe
7,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,7,7,6,Marília Mendonça
8,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,6,6,7,Paulo Pires
9,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,8,9,Avine Vinny
10,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,8,10,9,Marília Mendonça
11,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,11,14,9,Henrique & Juliano
12,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,12,17,4,Mari Fernandez
13,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",2,11,9,DJ Patrick Muniz
14,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,13,9,Zé Felipe
15,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,12,9,Mc Anjim
16,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,7,15,9,Zé Neto & Cristiano
17,spotify:track:3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,6,16,9,Gusttavo Lima
18,spotify:track:7MLCxrDoxcTRg1u3QAGE5a,Bloqueado - Ao Vivo,18,19,3,Gusttavo Lima
19,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,8,18,9,Zé Neto & Cristiano
20,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,9,20,9,Matheus Fernandes
21,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,15,21,9,Tayrone
22,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,15,22,9,Matheus & Kauan
23,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,23,—,1,Anitta
24,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,15,24,9,Felipe Amorim
25,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,12,25,9,João Gomes
26,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,12,23,9,Luan Santana
27,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,27,28,9,Max e Luan
28,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,24,27,9,Vitor e Luan
29,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,20,32,7,Marina Sena
30,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,21,31,9,Zé Felipe
31,spotify:track:3Lw41pfko5XMrsHRtlbo2k,Bota a Mão no Chão,25,26,5,Felipe Cardoso DJ
32,spotify:track:62d4BfCTUHdOsARRETHLDz,Mete a Louca,32,33,5,MC Rogerinho
33,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,10,29,9,Matuê
34,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,34,34,8,Mc Davi
35,spotify:track:5SwyN9hzmWjBsINlif8li8,Ficha Limpa,16,35,9,Gusttavo Lima
36,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,17,30,9,DG e Batidão Stronda
37,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,28,39,9,Japãozin
38,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,19,37,9,Tarcísio do Acordeon
39,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,23,40,9,Diego & Victor Hugo
40,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,37,49,8,Henrique & Juliano
41,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,41,—,1,DJ Matt D
42,spotify:track:2s9BO8c0co0PmgBiUoTT17,A QUEDA,23,44,9,Gloria Groove
43,spotify:track:6m84TzSTM5nbwZxIxkYHz6,Namorando Com Saudade,31,38,9,Jorge & Mateus
44,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,34,43,6,Marília Mendonça
45,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,45,—,1,Jorge & Mateus
46,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,16,41,6,Marília Mendonça
47,spotify:track:2ookQf9qP2qiBuNFnNXyfl,Chega E Senta - Ao Vivo,11,36,9,John Amplificado
48,spotify:track:2PZmUFZGlUqkYJL0s0Cl6C,Dar uma Namorada - Ao Vivo,48,52,4,Israel & Rodolffo
49,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,48,48,8,Clayton & Romário
50,spotify:track:2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,42,42,9,Israel & Rodolffo
51,spotify:track:4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,16,46,6,Marília Mendonça
52,spotify:track:3hycwch1V1aCbKGlcfKg0I,"Deu Meia Noite, Eu Sumi, Geral Soltando Fogos",52,63,3,Mc Delux
53,spotify:track:0FqVtQxRD3HsPltldG5v5M,Aquelas Coisas,41,53,9,João Gomes
54,spotify:track:6pQKUKBpwr6GhfhcFFFozo,Não Nasceu pra Namorar,18,47,9,MC Zaquin
55,spotify:track:6Lrzxd7ST5oQ6FYKXKH7Ia,Vagabundo,30,51,9,Matheus & Kauan
56,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),28,50,9,Lil Nas X
57,spotify:track:3Ox3DxqqRCEEVCPnENVx3g,"Calma Bb, Tá nos Melhores Amigos",57,69,2,Mc Th
58,spotify:track:452LVnTBjXYW3guqe3xiqI,Vamo Tomar Uma,28,58,9,Zé Neto & Cristiano
59,spotify:track:6PphjPCInSH37orHuV7ymU,Modo Avião - Ao Vivo,59,59,3,DENNIS
60,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,60,—,1,Mc Poze do Rodo
61,spotify:track:2aqqXrjrPdRHU9uSeRmL3C,Menina Se Prepara,44,56,9,Mc Pepeu
62,spotify:track:7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,62,66,8,Elton John
63,spotify:track:0NvVVP3Q0oSbfBUZ48vCHs,Tiffany,47,57,6,MD Chefe
64,spotify:track:1TyxXIXVVpHwhKaF73z8nw,Rasteira - Ao Vivo,53,65,5,Henrique & Juliano
65,spotify:track:3eq6zwPwN5SAw0rZxNHI22,Não Me Arranha - Ao Vivo,26,45,9,Gusttavo Lima
66,spotify:track:7xi4XR5EIOU6OHdIydLMjT,Uma Ex - Ao Vivo,61,61,3,Murilo Huff
67,spotify:track:53BkPZwlaLbW77uV9BnJkl,Eu Fiz o Jogo Virar,27,54,9,Mc Poze do Rodo
68,spotify:track:1hs2hRwPfyFLoYIf6jY1W7,Zero Saudade - Ao Vivo,25,55,9,Os Barões Da Pisadinha
69,spotify:track:2OEz3Dxs9yOEblN5Kk52Sv,Profissão F0Da,60,60,5,Mc Delux
70,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Envolver,42,67,5,Anitta
71,spotify:track:0qxLQ6opocOGyFnlXqJ53x,Bipolar,51,62,9,Mc Davi
72,spotify:track:6HV630GY0GT3RN2efFRmbP,Troca,54,70,5,Jorge & Mateus
73,spotify:track:6JIIejoN31NIn6BJsVS3cu,Oi Deus - Ao Vivo,58,64,5,Hugo & Guilherme
74,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,74,77,9,Grupo Menos É Mais
75,spotify:track:6Aw11M9NT2tBeEj3mPKrjy,Facas - Ao Vivo,72,72,4,Diego & Victor Hugo
76,spotify:track:1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,68,73,3,Imagine Dragons
77,spotify:track:0wRn3ggAY1fIupTaVigdza,A Cara do Crime (Nós Incomoda),33,68,9,Mc Poze do Rodo
78,spotify:track:6RMYuqlTn8777j5arY9zhC,Cena de Amor,55,71,9,Brisa Star
79,spotify:track:2Ho2vEEJAZOAnpxl9GsFYR,Pegada de Malvado,74,75,4,Mc Danone
80,spotify:track:07Kp3cAQRY0iPp4ATMoehM,Ficante Fiel,74,83,4,Mad Dogz
81,spotify:track:7vCvUJyjMxRkPeo19nxmuk,Coração Na Cama - Ao Vivo,69,74,4,Hugo & Guilherme
82,spotify:track:0m6XpDgZSyqyCg0HKOCaO8,Estelionato Afetivo - Ao Vivo,82,88,3,Douglas & Vinicius
83,spotify:track:3jSG8oE8doxDxmpe5GlFee,"Não, Não Vou",46,84,9,Mari Fernandez
84,spotify:track:0PH49SrRKOFVWF81PobhW6,Unha de Gel,78,78,5,Os Barões Da Pisadinha
85,spotify:track:3tEaSuDA0eWnIF8ari2Xly,Calculista,85,—,1,Dom Vittor & Gustavo
86,spotify:track:3HquWF2pZmWYu3WAEP9Heb,Só Não Divulga,50,87,3,Fernando & Sorocaba
87,spotify:track:0wcAfve621R8p3sTQjjJXA,O Porte da 40,63,80,9,Mc Frog
88,spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),58,91,9,The Kid LAROI
89,spotify:track:1N19UVD4GRBFT6UrDaX6rk,Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo),88,94,5,Turma do Pagode
90,spotify:track:2QLbRVzixE282JSQjBz2DG,Liberdade (Quando o Grave Bate Forte),74,81,3,Alok
91,spotify:track:5BFz4pXzknmYYctjvLKJAB,Sentadinha Descarada,91,95,2,Zé Vaqueiro
92,spotify:track:3Wrjm47oTz2sjIgck11l5e,Beggin',63,89,9,Måneskin
93,spotify:track:2Gjt4rUHBUH0rMKpBg0hF4,Disco Arranhado - Funk Remix,73,79,3,Malu
94,spotify:track:7Ls0AYtBWAJtt7iORFc6zC,Não Quer Chifre,37,86,9,Mc Frog
95,spotify:track:5emL18Je5WuruMhWr0gj4w,Eu Já Tava Bem - Ao Vivo,95,98,2,Wesley Safadão
96,spotify:track:5CbDKqtF6F6m1KUvsAf2Kf,Sorte - Ao Vivo,79,85,4,Diego & Victor Hugo
