rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,1,1,9,Israel & Rodolffo
2,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,2,10,MC MENOR HR
3,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,3,15,Gustavo Mioto
4,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,2,4,28,Guilherme & Benuto
5,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,5,5,7,Zé Felipe
6,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,3,7,20,Guilherme & Benuto
7,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,6,6,12,Felipe e Rodrigo
8,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,8,18,3,MC K.K
9,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,7,8,12,Matheus & Kauan
10,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,9,25,Mc Paiva ZS
11,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,11,12,9,Guilherme & Benuto
12,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,5,10,18,Diego & Victor Hugo
13,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,11,15,7,DJ Dozabri
14,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,11,11,5,Israel & Rodolffo
15,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,15,37,3,Marília Mendonça
16,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,9,14,13,Dj LK da Escócia
17,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,6,13,22,Jorge & Mateus
18,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,11,16,9,Orochi
19,spotify:track:2orGm2E68ODFYOURjaES62,Felina,6,17,15,WIU
20,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,20,21,4,MC Ryan SP
21,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,19,51,Hugo & Guilherme
22,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,22,33,3,Mc Jacaré
23,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,23,31,Ana Castela
24,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,6,20,13,Gusttavo Lima
25,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),25,25,7,Kadu Martins
26,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,22,22,3,Maiara & Maraisa
27,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,27,34,4,WIU
28,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,17,24,22,Matheus & Kauan
29,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),29,49,2,Luísa Sonza
30,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,29,29,L7NNON
31,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,10,26,35,Jorge & Mateus
32,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,25,27,22,Murilo Huff
33,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,18,28,32,Israel & Rodolffo
34,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,30,29,MC Tairon
35,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,21,31,32,Mari Fernandez
36,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,14,32,42,Matheus & Kauan
37,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,36,40,Matheus Fernandes
38,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,38,66,2,Ana Castela
39,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,35,24,Marília Mendonça
40,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,9,40,26,Gusttavo Lima
41,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,1,42,25,Mc Jacaré
42,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,39,39,5,Gusttavo Lima
43,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,3,43,40,Felipe Amorim
44,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,41,63,George Henrique & Rodrigo
45,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,34,45,21,Felipe Amorim
46,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,6,38,23,DJ AK BR
47,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,47,—,1,Anitta
48,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,44,44,3,Bruno & Denner
49,spotify:track:4aoZBldNDVYmTwmeoI49ud,O Poder Dessa Garota,33,51,29,Mc Gabzin
50,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,5,55,21,Luan Santana
51,spotify:track:5t7E1z1kVtHyPxWNmUtXN4,Te Love - Ao Vivo,33,47,14,Kevi Jonny
52,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,7,48,16,Pineapple StormTv
53,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,16,60,47,Guilherme & Benuto
54,spotify:track:5mJFh4iRzgmWuEVPG8257V,Quem Não Conhece Tá Sem Internet,36,53,15,MC Marks
55,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,13,50,22,Hugo & Guilherme
56,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,24,52,63,Henrique & Juliano
57,spotify:track:4QQTPEwqE4Aq7LXSyIgSci,Primeiro Beck Ela Me Mamou,20,63,17,Mc Kitinho
58,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,27,59,40,Harry Styles
59,spotify:track:2PtpfX7sX870xeOfdTMyx2,Meus Vícios - Ao Vivo,53,56,15,Guilherme & Benuto
60,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,38,58,27,MC Cabelinho
61,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,24,65,36,Paulo e Nathan
62,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,2,62,38,Luan Santana
63,spotify:track:5TGkZGCUoV1zvFxQOIQM5O,Reverse,42,67,12,HITMAKER
64,spotify:track:2SOeAhvJfh7HsGYPVtGG8H,Aqui Na Parma Tu Vem Pra Fuder,38,69,10,DJ CIRILO DE CAXIAS
65,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,21,64,31,Mc Paiva ZS
