rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,10,Xamã
2,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,2,3,6,Hugo & Guilherme
3,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,4,4,Zé Felipe
4,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,4,47,2,PEDRO SAMPAIO
5,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,1,2,18,George Henrique & Rodrigo
6,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,4,5,6,Chefin
7,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,6,13,Gusttavo Lima
8,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,7,11,Jorge & Mateus
9,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,8,11,DJ Matt D
10,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,6,10,14,Mari Fernandez
11,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,3,11,15,Zé Felipe
12,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,12,18,3,Luan Santana
13,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,13,19,5,Dj Guuga
14,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,9,19,Marília Mendonça
15,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,12,19,Henrique & Juliano
16,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),16,16,5,MC Teteu
17,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,6,15,17,Paulo Pires
18,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,15,17,8,Matheus & Kauan
19,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,14,16,Marília Mendonça
20,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,3,13,19,PEDRO SAMPAIO
21,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,21,21,6,Simone & Simaria
22,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,18,22,12,Wesley Safadão
23,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,23,88,2,MC Rogerinho
24,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,24,25,5,Mc Don Juan
25,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,25,38,2,Gloria Groove
26,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,11,20,19,Henrique & Juliano
27,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,23,19,Zé Felipe
28,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,28,28,4,Anitta
29,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,15,24,19,Tayrone
30,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,27,27,18,Henrique & Juliano
31,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,22,31,18,Mc Davi
32,spotify:track:2SDGleyRLDrYZeMsZEK3Vb,Dar uma Namorada - Ao Vivo,25,32,14,Israel & Rodolffo
33,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,33,35,5,Jão
34,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,34,19,Avine Vinny
35,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,8,26,19,Marília Mendonça
36,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,2,30,17,MC Levin
37,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,37,42,2,Luísa Sonza
38,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,7,33,19,Zé Neto & Cristiano
39,spotify:track:0VF2XFdgeID7448iU2Vyg9,Novinha Malada do Insta,39,49,5,MC Josh
40,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,6,37,19,Gusttavo Lima
41,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,18,29,11,Anitta
42,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,34,36,16,Marília Mendonça
43,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,9,39,19,Matheus Fernandes
44,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,37,40,7,Melody
45,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,44,44,4,Zé Neto & Cristiano
46,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,38,45,8,Matuê
47,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,20,43,17,Marina Sena
48,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,15,51,19,Felipe Amorim
49,spotify:track:5rz7ZQkMpQHGDXC62P2Axw,ESSE É LADRÃO,48,48,5,DJ BRUNIN DA NT
50,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,39,46,11,Mc Poze do Rodo
51,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,30,52,18,Clayton & Romário
52,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,35,54,7,Luísa Sonza
53,spotify:track:4AOOcHnZdU6qyUVtKZUEuF,Amava Nada - Ao Vivo,53,55,3,Lucas Lucco
54,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,41,19,Mc Anjim
55,spotify:track:7KPhwNko8V9vYBIN653hSO,A Cara do Crime 2 (Cansou de Playboy),48,53,5,Mc Poze do Rodo
56,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,56,68,3,LUDMILLA
57,spotify:track:2IsusePMD32LQKNU7vZiAH,É Só Blusão da Ecko e Boné da Lacoste Vs Putaria (feat. Mc Denny),57,—,1,Dj Tk
58,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,58,80,2,George Henrique & Rodrigo
59,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,12,58,19,Luan Santana
60,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,60,76,2,Guilherme & Benuto
61,spotify:track:6PphjPCInSH37orHuV7ymU,Modo Avião - Ao Vivo,54,61,13,DENNIS
62,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,10,64,19,Matuê
63,spotify:track:7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,57,62,18,Elton John
64,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,8,60,19,Zé Neto & Cristiano
65,spotify:track:0w4eRv2fCerS49SgrStS1V,BAGUNÇA,65,65,3,PEDRO SAMPAIO
66,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,23,59,19,Max e Luan
67,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",2,67,19,DJ Patrick Muniz
68,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,21,63,19,Zé Felipe
69,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,26,69,19,Gusttavo Lima
70,spotify:track:452LVnTBjXYW3guqe3xiqI,Vamo Tomar Uma,28,57,19,Zé Neto & Cristiano
71,spotify:track:3Ox3DxqqRCEEVCPnENVx3g,"Calma Bb, Tá nos Melhores Amigos",44,66,12,Mc Th
72,spotify:track:3bJ4nTkTXMYpYgM7zoUqPY,Voltei pra Cachorrada,71,75,6,DJ Jeeh FDC
73,spotify:track:1QmupixsVNc0osesKXraZC,Formosa,50,99,9,Kaio Viana
74,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,24,56,19,Vitor e Luan
75,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),28,71,19,Lil Nas X
76,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,15,50,19,Matheus & Kauan
77,spotify:track:17QN5kFprJqHdHLMj7hz4s,Ficha Limpa - Ao Vivo,16,78,19,Gusttavo Lima
78,spotify:track:0m6XpDgZSyqyCg0HKOCaO8,Estelionato Afetivo - Ao Vivo,74,74,3,Douglas & Vinicius
79,spotify:track:53BkPZwlaLbW77uV9BnJkl,Eu Fiz o Jogo Virar,27,85,19,Mc Poze do Rodo
80,spotify:track:4k7mlEX9Nc3Ei0nFQ4cOE3,LEILÃO,72,72,2,Gloria Groove
81,spotify:track:0EMAzKGOFxJgG9vHsm7ciF,Eu Vou Machucar Só um Pouquinho X Catucando Gostosinho,81,—,1,JC NO BEAT
82,spotify:track:5onALPPboSh4z6cO24tOvW,Canto da Sereia,82,—,1,MC Menor da VG
83,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,28,77,19,Japãozin
84,spotify:track:4OjLi2Ji9UhVsHjqzRGCsM,Quebrando Protocolo - Ao Vivo,49,79,7,Gusttavo Lima
85,spotify:track:6pQKUKBpwr6GhfhcFFFozo,Não Nasceu pra Namorar,18,87,19,MC Zaquin
86,spotify:track:20on25jryn53hWghthWWW3,Do It To It,71,86,8,ACRAZE
87,spotify:track:4fouWK6XVHhzl78KzQ1UjL,abcdefu,73,81,7,GAYLE
88,spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),58,90,8,The Kid LAROI
89,spotify:track:3bk6sZAoYDNCdpIOfGM0pQ,A QUEDA,23,73,19,Gloria Groove
90,spotify:track:1gKXrwKn5ub6wyefqMsnZp,Joga na Cara,90,—,1,MC Braz
91,spotify:track:2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,38,70,19,Israel & Rodolffo
92,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,16,84,16,Marília Mendonça
93,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,23,83,19,Diego & Victor Hugo
94,spotify:track:62d4BfCTUHdOsARRETHLDz,Mete a Louca,32,82,15,MC Rogerinho
95,spotify:track:7MJiZazhXeWZoFZlBzC7sf,MALDITA PERIGOSA,77,94,7,DJ VILÃO
96,spotify:track:2TkyXnE0OB6Yo9zuzv9B4e,Cruzeiro da Revoada,96,100,3,Hungria Hip Hop
97,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,12,93,19,João Gomes
