rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,6,Xamã
2,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,1,2,14,George Henrique & Rodrigo
3,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,3,13,2,Hugo & Guilherme
4,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,3,9,Gusttavo Lima
5,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,4,15,Marília Mendonça
6,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,10,7,DJ Matt D
7,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,3,5,11,Zé Felipe
8,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,6,6,10,Mari Fernandez
9,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,9,52,2,Chefin
10,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,9,12,Marília Mendonça
11,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,3,8,15,PEDRO SAMPAIO
12,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,7,15,Henrique & Juliano
13,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,11,11,7,Jorge & Mateus
14,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,6,12,13,Paulo Pires
15,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,2,14,13,MC Levin
16,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,15,15,Avine Vinny
17,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,17,21,4,Matheus & Kauan
18,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,17,15,Zé Felipe
19,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,11,18,15,Henrique & Juliano
20,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,15,16,15,Tayrone
21,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,19,23,7,Anitta
22,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,22,22,14,Mc Davi
23,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,8,19,15,Marília Mendonça
24,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,7,20,15,Zé Neto & Cristiano
25,spotify:track:2SDGleyRLDrYZeMsZEK3Vb,Dar uma Namorada - Ao Vivo,25,26,10,Israel & Rodolffo
26,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,23,24,15,Max e Luan
27,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,28,15,Mc Anjim
28,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,9,29,15,Matheus Fernandes
29,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,15,27,15,Matheus & Kauan
30,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,6,25,15,Gusttavo Lima
31,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,29,34,14,Henrique & Juliano
32,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,30,30,14,Clayton & Romário
33,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,15,31,15,Felipe Amorim
34,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,34,36,8,Wesley Safadão
35,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,8,32,15,Zé Neto & Cristiano
36,spotify:track:452LVnTBjXYW3guqe3xiqI,Vamo Tomar Uma,28,47,15,Zé Neto & Cristiano
37,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,37,65,3,Melody
38,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,38,41,3,Luísa Sonza
39,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,39,42,7,Mc Poze do Rodo
40,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,38,44,4,Matuê
41,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,12,40,15,Luan Santana
42,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,21,39,15,Zé Felipe
43,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,19,38,15,Tarcísio do Acordeon
44,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,12,35,15,João Gomes
45,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,20,45,13,Marina Sena
46,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,34,43,12,Marília Mendonça
47,spotify:track:62d4BfCTUHdOsARRETHLDz,Mete a Louca,28,57,15,MC Rogerinho
48,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",2,33,15,DJ Patrick Muniz
49,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,10,49,15,Matuê
50,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,24,37,15,Vitor e Luan
51,spotify:track:1QmupixsVNc0osesKXraZC,Formosa,50,50,5,Kaio Viana
52,spotify:track:3Ox3DxqqRCEEVCPnENVx3g,"Calma Bb, Tá nos Melhores Amigos",44,54,8,Mc Th
53,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,23,48,15,Diego & Victor Hugo
54,spotify:track:6PphjPCInSH37orHuV7ymU,Modo Avião - Ao Vivo,54,56,9,DENNIS
55,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,26,53,15,Gusttavo Lima
56,spotify:track:2s9BO8c0co0PmgBiUoTT17,A QUEDA,23,46,15,Gloria Groove
57,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,57,81,2,Simone & Simaria
58,spotify:track:17QN5kFprJqHdHLMj7hz4s,Ficha Limpa - Ao Vivo,16,51,15,Gusttavo Lima
59,spotify:track:2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,38,55,15,Israel & Rodolffo
60,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,60,—,1,Mc Don Juan
61,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,28,58,15,Japãozin
62,spotify:track:7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,57,59,14,Elton John
63,spotify:track:7KPhwNko8V9vYBIN653hSO,A Cara do Crime 2 (Cansou de Playboy),63,—,1,Mc Poze do Rodo
64,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,17,61,15,DG e Batidão Stronda
65,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),28,60,15,Lil Nas X
66,spotify:track:53BkPZwlaLbW77uV9BnJkl,Eu Fiz o Jogo Virar,27,71,15,Mc Poze do Rodo
67,spotify:track:0VF2XFdgeID7448iU2Vyg9,Novinha Malada do Insta,67,—,1,MC Josh
68,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,16,64,12,Marília Mendonça
69,spotify:track:4OjLi2Ji9UhVsHjqzRGCsM,Quebrando Protocolo - Ao Vivo,49,68,3,Gusttavo Lima
70,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,70,—,1,Jão
71,spotify:track:20on25jryn53hWghthWWW3,Do It To It,71,72,4,ACRAZE
72,spotify:track:4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,16,63,12,Marília Mendonça
73,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),73,—,1,MC Teteu
74,spotify:track:0j8nXyOr5UXWHqy0BBnZ6L,Dá Intimidade Pra Ver - Ao Vivo,74,—,1,Israel & Rodolffo
75,spotify:track:3Lw41pfko5XMrsHRtlbo2k,Bota a Mão no Chão,25,66,11,Felipe Cardoso DJ
76,spotify:track:5zswDNRhJSXuvhJXJGQTFK,Cabeça Branca,69,69,5,Tierry
77,spotify:track:3bJ4nTkTXMYpYgM7zoUqPY,Voltei pra Cachorrada,77,95,2,DJ Jeeh FDC
78,spotify:track:4nDOZT5fC3sUxP7UgjEd57,Erro do Ficante - Ao Vivo No Casa Filtr,78,91,2,Marcos & Belutti
79,spotify:track:6pQKUKBpwr6GhfhcFFFozo,Não Nasceu pra Namorar,18,80,15,MC Zaquin
80,spotify:track:7MJiZazhXeWZoFZlBzC7sf,MALDITA PERIGOSA,77,77,3,DJ VILÃO
81,spotify:track:6Lrzxd7ST5oQ6FYKXKH7Ia,Vagabundo,30,73,15,Matheus & Kauan
82,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,62,75,15,Grupo Menos É Mais
83,spotify:track:4fouWK6XVHhzl78KzQ1UjL,abcdefu,76,82,3,GAYLE
84,spotify:track:3hycwch1V1aCbKGlcfKg0I,"Deu Meia Noite, Eu Sumi, Geral Soltando Fogos",49,70,9,Mc Delux
85,spotify:track:0FqVtQxRD3HsPltldG5v5M,Aquelas Coisas,41,78,15,João Gomes
86,spotify:track:0wRn3ggAY1fIupTaVigdza,A Cara do Crime (Nós Incomoda),33,86,3,Mc Poze do Rodo
87,spotify:track:1hs2hRwPfyFLoYIf6jY1W7,Zero Saudade - Ao Vivo,25,74,15,Os Barões Da Pisadinha
88,spotify:track:1TyxXIXVVpHwhKaF73z8nw,Rasteira - Ao Vivo,53,76,11,Henrique & Juliano
89,spotify:track:5rz7ZQkMpQHGDXC62P2Axw,ESSE É LADRÃO,89,—,1,DJ BRUNIN DA NT
90,spotify:track:2aqqXrjrPdRHU9uSeRmL3C,Menina Se Prepara,44,88,15,Mc Pepeu
91,spotify:track:6m84TzSTM5nbwZxIxkYHz6,Namorando Com Saudade,31,79,15,Jorge & Mateus
92,spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),58,85,4,The Kid LAROI
93,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,93,96,3,Filipe Ret
94,spotify:track:5i9QsbNUyVGw8n0K1Oakde,"Set do Dj 2W, Vol. 2",89,89,3,MC L da Vinte
95,spotify:track:3jSG8oE8doxDxmpe5GlFee,"Não, Não Vou",46,87,15,Mari Fernandez
96,spotify:track:1yecpnQJ3PL2BtOt8Eon6O,INVEJOSO,96,—,1,Distrito 23
97,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,97,—,1,Dj Guuga
98,spotify:track:1N19UVD4GRBFT6UrDaX6rk,Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo),68,92,11,Turma do Pagode
99,spotify:track:2ookQf9qP2qiBuNFnNXyfl,Chega E Senta - Ao Vivo,11,62,15,John Amplificado
100,spotify:track:2OEz3Dxs9yOEblN5Kk52Sv,Profissão F0Da,60,84,11,Mc Delux
