rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,7,Xamã
2,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,1,2,15,George Henrique & Rodrigo
3,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,3,3,3,Hugo & Guilherme
4,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,4,10,Gusttavo Lima
5,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,5,9,3,Chefin
6,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,5,16,Marília Mendonça
7,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,6,8,11,Mari Fernandez
8,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,8,13,8,Jorge & Mateus
9,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,3,11,16,PEDRO SAMPAIO
10,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,3,7,12,Zé Felipe
11,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,6,8,DJ Matt D
12,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,10,13,Marília Mendonça
13,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,12,16,Henrique & Juliano
14,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,6,14,14,Paulo Pires
15,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,15,17,5,Matheus & Kauan
16,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,2,15,14,MC Levin
17,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,11,19,16,Henrique & Juliano
18,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,18,21,8,Anitta
19,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,18,16,Zé Felipe
20,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,15,20,16,Tayrone
21,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,16,16,Avine Vinny
22,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,22,34,9,Wesley Safadão
23,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,8,23,16,Marília Mendonça
24,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,22,22,15,Mc Davi
25,spotify:track:2SDGleyRLDrYZeMsZEK3Vb,Dar uma Namorada - Ao Vivo,25,25,11,Israel & Rodolffo
26,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,23,26,16,Max e Luan
