rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,1,1,5,Mc Livinho
2,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,2,10,DENNIS
3,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",3,3,6,Mc Pedrinho
4,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,4,25,AgroPlay
5,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,5,26,Simone Mendes
6,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,6,21,Israel & Rodolffo
7,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,7,8,3,Ana Castela
8,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,7,7,4,Luan Pereira
9,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,9,10,20,Grupo Menos É Mais
10,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,11,24,Guilherme & Benuto
11,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",7,12,5,Dyamante DJ
12,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,12,33,2,Vulgo FK
13,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,5,9,10,Veigh
14,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,4,13,23,Zé Neto & Cristiano
15,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,13,14,7,Luan Santana
16,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,16,17,5,Kadu Martins
17,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,5,15,25,Henrique & Juliano
18,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,4,16,25,Matheus & Kauan
19,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,18,21,11,Guilherme & Benuto
20,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",20,23,5,Melody
21,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,12,22,27,Gustavo Mioto
22,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,10,18,19,Luan Pereira
23,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,19,32,Marília Mendonça
24,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,1,20,38,Israel & Rodolffo
25,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,25,50,2,Gusttavo Lima
26,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,4,24,11,MC Caverinha
27,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,16,25,14,MC Kevin o Chris
28,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,28,28,5,Zé Neto & Cristiano
29,spotify:track:5vdQUAFncALEH9EQvyAqIX,Forte Forte de Lacoste - Pra Começar o Final de Semana,27,27,6,DJ Jeeh FDC
