rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,1,9,Ana Castela
2,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,2,7,MC Tairon
3,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,3,7,L7NNON
4,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,4,21,3,Mc Jacaré
5,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,4,7,Zé Felipe
6,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,5,5,3,Luísa Sonza
7,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,1,6,11,Mc Don Juan
8,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,16,2,Marília Mendonça
9,spotify:track:4m1mqQuy34Nzh0480VR364,Incendeia,9,14,3,MC Kevin o Chris
10,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,10,15,6,Guilherme & Benuto
11,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,10,12,13,Jorge & Mateus
12,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,3,7,17,MC Braz
13,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,11,11,4,Gusttavo Lima
14,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,13,29,Hugo & Guilherme
15,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,2,10,16,Luan Santana
16,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,8,18,Matheus Fernandes
17,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,9,20,Davi Kneip
18,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,3,18,18,Gusttavo Lima
19,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,19,23,20,Matheus & Kauan
20,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,20,25,PEDRO SAMPAIO
21,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,19,14,MC Rogerinho
22,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,3,25,26,Luan Santana
23,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,24,41,George Henrique & Rodrigo
24,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,3,17,18,Felipe Amorim
25,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,25,26,10,Mari Fernandez
26,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,26,29,10,Israel & Rodolffo
27,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,17,22,12,João Gomes
28,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,6,32,18,Matuê
29,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,14,28,19,Mc Gabzin
30,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,30,58,3,Mc Paiva ZS
31,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,24,31,16,Hugo & Guilherme
32,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,1,27,12,Jovem Dionisio
33,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,33,34,Jorge & Mateus
34,spotify:track:1rJFFWDXrlMS0C5JlbqFbI,Tem Cabaré Essa Noite,34,44,2,Nivaldo Marques
35,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,35,77,2,Mc Poze do Rodo
36,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,16,34,25,Guilherme & Benuto
37,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,13,39,18,Teto
38,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,30,33,Xamã
39,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,11,36,42,Henrique & Juliano
40,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,15,41,14,Mc Pepeu
41,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,27,37,18,Harry Styles
42,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,18,35,8,Baco Exu do Blues
43,spotify:track:4aoZBldNDVYmTwmeoI49ud,O Poder Dessa Garota,38,43,7,Mc Gabzin
44,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,38,42,Marília Mendonça
45,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,18,40,35,Wesley Safadão
46,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,45,45,10,Murilo Huff
47,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,47,68,14,Paulo e Nathan
48,spotify:track:7qq40cRIYNKZCDt1STfBqt,"Bruna, Tu Já Parou Pra Pensar",48,50,4,Niack
49,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,31,47,12,Leo Santana
50,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,42,27,Zé Felipe
51,spotify:track:3qHN7TSBfVQPF9ojUVT9ZT,Pras Novinha (feat. DJ Pedrin),51,52,5,Mc Livinho
52,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,54,42,Henrique & Juliano
53,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,46,46,5,Wesley Safadão
54,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,41,56,8,Teto
55,spotify:track:0yDMhYTryvQoR634wDgQ1j,O Fim é Triste (feat. DJ BOY),53,53,5,MC Hariel
56,spotify:track:1XcmAgREOuJQb91sr68AAD,Sentadinha Diferente,56,67,2,Dyamante DJ
57,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,26,64,11,Henrique & Juliano
58,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),35,49,9,Kate Bush
59,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,10,51,25,Gloria Groove
60,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,24,62,41,Henrique & Juliano
61,spotify:track:4IX43MpJlpxzRMLb9QayrJ,PERIGO NOTURNO - Ao Vivo,45,48,5,Luan Santana
62,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,6,55,37,Mari Fernandez
63,spotify:track:3QxKHcpNt6CWNUYCLLBHeZ,Escolhe o Bandido,63,70,2,MC CH da Z.O
64,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,64,90,9,Mc Paiva ZS
65,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,65,75,2,Clayton & Romário
66,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,59,36,Gusttavo Lima
67,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,43,61,11,O Tubarão
68,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,16,65,27,Zé Neto & Cristiano
69,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,71,34,DJ Matt D
70,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,66,39,Marília Mendonça
71,spotify:track:14uWxelOuAUajP8fDvc0Ct,Falta Você,71,74,7,Thiaguinho
72,spotify:track:5DhiTYpD599fu3q7fCepgL,Dior,55,63,7,BIN
73,spotify:track:0E0OENqh3jaZ4VpDFTOLGj,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,16,73,15,Mc Delux
74,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,74,93,5,MC Cabelinho
75,spotify:track:7fzgTaVhUxmEzjtcd9NdWo,Cê Tá Preparada - Ao Vivo,15,80,42,Tayrone
76,spotify:track:1gKXrwKn5ub6wyefqMsnZp,Joga na Cara,58,76,24,MC Braz
77,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,BREAK MY SOUL,77,—,1,Beyoncé
78,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),22,60,9,Gusttavo Lima
79,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,11,69,25,MC Rogerinho
80,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,52,79,17,L7NNON
81,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,37,82,18,João Bosco e Gabriel
82,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),11,85,28,MC Teteu
83,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,35,91,34,Mc Poze do Rodo
84,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,4,86,29,Chefin
