rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,1,1,5,Jovem Dionisio
2,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,2,2,4,Mc Don Juan
3,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,3,11,Matheus Fernandes
4,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,2,6,9,Luan Santana
5,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,4,13,Davi Kneip
6,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,6,7,10,MC Braz
7,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,3,5,11,Felipe Amorim
8,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,9,22,Hugo & Guilherme
9,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,8,18,PEDRO SAMPAIO
10,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,3,10,11,Gusttavo Lima
11,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,11,11,6,Jorge & Mateus
12,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,3,13,19,Luan Santana
13,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,12,7,MC Rogerinho
14,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,15,27,Jorge & Mateus
15,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,6,14,11,Matuê
16,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,16,20,18,Guilherme & Benuto
17,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,16,26,Xamã
18,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,15,17,7,Mc Pepeu
19,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,14,18,12,Mc Gabzin
20,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,21,34,George Henrique & Rodrigo
21,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,21,24,5,João Gomes
22,spotify:track:0E0OENqh3jaZ4VpDFTOLGj,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,16,19,8,Mc Delux
23,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,13,22,11,Teto
24,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,24,25,9,Hugo & Guilherme
25,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,25,26,13,Matheus & Kauan
26,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,26,29,4,Henrique & Juliano
27,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,11,27,35,Henrique & Juliano
28,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),9,23,10,L7NNON
29,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),29,48,2,Gusttavo Lima
30,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,28,29,Gusttavo Lima
31,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,18,33,28,Wesley Safadão
32,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,16,30,20,Zé Neto & Cristiano
33,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),22,34,7,Anitta
34,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,32,20,Zé Felipe
35,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,35,41,3,Israel & Rodolffo
36,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,24,36,34,Henrique & Juliano
37,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,27,31,11,Harry Styles
38,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,37,35,Marília Mendonça
39,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,39,39,5,Leo Santana
40,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,40,46,3,Mari Fernandez
41,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,4,35,22,Chefin
42,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),38,38,2,Kate Bush
43,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,45,35,Henrique & Juliano
44,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,11,42,18,MC Rogerinho
45,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,6,44,30,Mari Fernandez
46,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,43,43,4,O Tubarão
47,spotify:track:3fSxnkjdgPucRCskjmAlgx,A Cara do Crime 3 (Brinde à Liberdade),47,47,3,Mc Poze do Rodo
48,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,10,49,18,Gloria Groove
49,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,52,32,Marília Mendonça
50,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,45,53,11,João Bosco e Gabriel
51,spotify:track:45VwwcqkVl61khE9JT2OxK,Baile da Serra,47,51,5,Braão
52,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,50,27,DJ Matt D
53,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,53,61,7,Paulo e Nathan
54,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,54,—,1,Teto
55,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,55,57,3,Murilo Huff
56,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),11,56,21,MC Teteu
57,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,40,15,Anitta
58,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",12,55,16,Vulgo FK
59,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,32,54,16,Pineapple StormTv
60,spotify:track:7fzgTaVhUxmEzjtcd9NdWo,Cê Tá Preparada - Ao Vivo,15,65,35,Tayrone
61,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,35,58,18,George Henrique & Rodrigo
62,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,15,64,24,Matheus & Kauan
63,spotify:track:0EMAzKGOFxJgG9vHsm7ciF,Eu Vou Machucar Só um Pouquinho X Catucando Gostosinho,50,59,17,JC NO BEAT
64,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,34,68,32,Marília Mendonça
65,spotify:track:1gKXrwKn5ub6wyefqMsnZp,Joga na Cara,58,66,17,MC Braz
66,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,66,—,1,Baco Exu do Blues
67,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,52,60,10,L7NNON
68,spotify:track:0bvLxd9bUAYGKkpMYdR60F,Mal Caminho,59,63,11,DJ JOAO DA INESTAN
69,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,35,62,27,Mc Poze do Rodo
70,spotify:track:6W56j9ijl9n2l76Hs4hgGn,Larga AÍ Pra Ver - Ao Vivo,60,71,9,Léo & Raphael
71,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,18,67,18,Luísa Sonza
72,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,72,78,2,Ana Castela
73,spotify:track:0VF2XFdgeID7448iU2Vyg9,Novinha Malada do Insta,26,70,21,MC Josh
