rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,1,9,Davi Kneip
2,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,2,2,5,Luan Santana
3,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,3,5,7,Gusttavo Lima
4,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,4,14,PEDRO SAMPAIO
5,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,3,3,7,Felipe Amorim
6,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,6,18,Hugo & Guilherme
7,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,7,9,7,Matheus Fernandes
8,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,6,8,7,Matuê
9,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,3,7,15,Luan Santana
10,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,11,22,Xamã
11,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,10,23,Jorge & Mateus
12,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,12,15,6,MC Braz
13,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),9,12,6,L7NNON
14,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,14,14,8,Mc Gabzin
15,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,13,30,George Henrique & Rodrigo
16,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,16,23,3,Mc Pepeu
17,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,13,16,7,Teto
18,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,16,17,16,Zé Neto & Cristiano
19,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,19,20,4,Mc Delux
20,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,20,33,3,MC Rogerinho
21,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,21,24,14,Guilherme & Benuto
22,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),22,28,3,Anitta
23,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,19,25,Gusttavo Lima
24,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,21,16,Zé Felipe
25,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,22,31,Henrique & Juliano
26,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,11,25,31,Henrique & Juliano
27,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,27,30,9,Matheus & Kauan
28,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,28,50,2,Jorge & Mateus
29,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,18,11,Anitta
30,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,27,31,Marília Mendonça
31,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,4,29,18,Chefin
32,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,18,31,24,Wesley Safadão
33,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,28,32,7,Harry Styles
34,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,24,26,30,Henrique & Juliano
35,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,10,35,14,Gloria Groove
36,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,34,34,5,Hugo & Guilherme
37,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,11,37,14,MC Rogerinho
38,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",12,39,12,Vulgo FK
39,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,38,28,Marília Mendonça
40,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,6,42,26,Mari Fernandez
41,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,35,36,14,George Henrique & Rodrigo
42,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,35,43,23,Mc Poze do Rodo
43,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,15,41,20,Matheus & Kauan
44,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,40,23,DJ Matt D
45,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,32,46,12,Pineapple StormTv
46,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,45,45,7,João Bosco e Gabriel
47,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,9,48,17,Dj Guuga
48,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),11,51,17,MC Teteu
49,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,49,—,1,João Gomes
50,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,18,44,14,Luísa Sonza
51,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,22,57,17,Mc Don Juan
52,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,52,54,6,L7NNON
53,spotify:track:45VwwcqkVl61khE9JT2OxK,Baile da Serra,53,—,1,Braão
54,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,15,49,31,Tayrone
55,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,34,53,28,Marília Mendonça
56,spotify:track:0EMAzKGOFxJgG9vHsm7ciF,Eu Vou Machucar Só um Pouquinho X Catucando Gostosinho,50,59,13,JC NO BEAT
57,spotify:track:2VATVdFqb7QqxfAcQPvNpc,Ex Alcoolizado - Ao Vivo,57,69,7,Israel & Rodolffo
58,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,22,61,30,Mc Davi
59,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,3,47,27,Zé Felipe
60,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,33,64,17,Jão
61,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,61,—,1,Jovem Dionisio
62,spotify:track:0bvLxd9bUAYGKkpMYdR60F,Mal Caminho,59,66,7,DJ JOAO DA INESTAN
63,spotify:track:1gKXrwKn5ub6wyefqMsnZp,Joga na Cara,58,63,13,MC Braz
64,spotify:track:6W56j9ijl9n2l76Hs4hgGn,Larga AÍ Pra Ver - Ao Vivo,60,60,5,Léo & Raphael
65,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,38,58,20,Matuê
66,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,6,62,29,Paulo Pires
67,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,17,55,15,LUDMILLA
68,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,3,56,31,PEDRO SAMPAIO
69,spotify:track:0VF2XFdgeID7448iU2Vyg9,Novinha Malada do Insta,26,65,17,MC Josh
70,spotify:track:4HpRywZJgzkXXYLKJ0mLiY,Minha Cópia Atual - Ao Vivo,67,67,6,Henrique & Juliano
71,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,48,68,30,Elton John
72,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,45,52,8,Hugo & Guilherme
73,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,10,71,31,Matuê
74,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,73,74,11,Filipe Ret
75,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,8,72,31,Marília Mendonça
76,spotify:track:2gkKA2pRAsMzbiGPo9gxsc,Água Nos Zói - Ao Vivo,30,70,30,Clayton & Romário
77,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,13,75,18,Simone & Simaria
78,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,82,31,Zé Felipe
79,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),28,77,31,Lil Nas X
80,spotify:track:0eumeycOAI8ew5qRzFJbEr,Mágico do Som,65,78,6,MC WM
81,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,6,76,31,Gusttavo Lima
82,spotify:track:5onALPPboSh4z6cO24tOvW,Canto da Sereia,77,93,13,MC Menor da VG
83,spotify:track:5rz7ZQkMpQHGDXC62P2Axw,ESSE É LADRÃO,48,80,17,DJ BRUNIN DA NT
84,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,88,31,Mc Anjim
85,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,23,95,31,Max e Luan
86,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,73,73,3,Paulo e Nathan
87,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,7,79,31,Zé Neto & Cristiano
88,spotify:track:2IsusePMD32LQKNU7vZiAH,É Só Blusão da Ecko e Boné da Lacoste Vs Putaria (feat. Mc Denny),43,86,13,Dj Tk
89,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,9,81,31,Matheus Fernandes
90,spotify:track:0IU0HtCAk6AXO5BqWW4lwy,Videozin pra Tiktok,85,89,5,DJ Zigão
91,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,91,—,1,Leo Santana
92,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,8,84,31,Zé Neto & Cristiano
93,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,26,83,31,Gusttavo Lima
94,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,96,31,Avine Vinny
95,spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),47,91,20,The Kid LAROI
96,spotify:track:4AOOcHnZdU6qyUVtKZUEuF,Amava Nada - Ao Vivo,53,85,15,Lucas Lucco
97,spotify:track:1iaPDgTbsKrlznVu13EWIf,ESSÊNCIA DE CRIA,83,—,1,MC Cabelinho
98,spotify:track:7LdYiTZzlxsPKi8kvNXeBS,Set do G15 - A Revoada Começou,98,—,1,MC G15
99,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,18,87,23,Anitta
100,spotify:track:0w4eRv2fCerS49SgrStS1V,BAGUNÇA,65,97,2,PEDRO SAMPAIO
