rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,1,5,Avine Vinny
2,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,2,7,3,MC Levin
3,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,2,2,5,Marília Mendonça
4,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,3,3,5,PEDRO SAMPAIO
5,spotify:track:4u06FbRh6FvV2FQZkouzCw,Arranhão - Ao Vivo,2,4,5,Henrique & Juliano
6,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,6,10,3,Paulo Pires
7,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,6,5,Zé Felipe
8,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",2,5,5,DJ Patrick Muniz
9,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,9,9,5,Marília Mendonça
10,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,8,5,Mc Anjim
11,spotify:track:3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,6,11,5,Gusttavo Lima
12,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,7,12,5,Zé Neto & Cristiano
13,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,9,13,5,Matheus Fernandes
14,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,14,46,4,George Henrique & Rodrigo
15,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,15,15,5,Felipe Amorim
16,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,16,36,2,Marília Mendonça
17,spotify:track:5Q0ZnQjk4lQpScX7ujswun,A Maior Saudade - Ao Vivo,11,17,5,Henrique & Juliano
18,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,17,19,5,DG e Batidão Stronda
19,spotify:track:2ookQf9qP2qiBuNFnNXyfl,Chega E Senta - Ao Vivo,11,20,5,John Amplificado
20,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,10,14,5,Matuê
21,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,12,21,5,João Gomes
22,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,21,26,5,Zé Felipe
23,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,8,18,5,Zé Neto & Cristiano
24,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,24,25,3,Marina Sena
25,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,12,22,5,Luan Santana
26,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,19,28,5,Tarcísio do Acordeon
27,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,15,27,5,Matheus & Kauan
28,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,28,31,5,Japãozin
29,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,29,43,2,Marília Mendonça
30,spotify:track:2s9BO8c0co0PmgBiUoTT17,A QUEDA,23,23,5,Gloria Groove
