rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,1,5,MC MENOR HR
2,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,2,2,4,Israel & Rodolffo
3,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,3,10,Gustavo Mioto
4,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,2,4,23,Guilherme & Benuto
5,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,5,20,Mc Paiva ZS
6,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,3,6,15,Guilherme & Benuto
7,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,7,7,7,Matheus & Kauan
8,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,5,8,13,Diego & Victor Hugo
9,spotify:track:2orGm2E68ODFYOURjaES62,Felina,6,9,10,WIU
10,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,9,10,8,Dj LK da Escócia
11,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,11,13,4,Orochi
12,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,6,12,17,Jorge & Mateus
13,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,6,11,8,Gusttavo Lima
14,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,14,47,2,Zé Felipe
15,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,14,26,Ana Castela
16,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,18,46,Hugo & Guilherme
17,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,15,24,L7NNON
18,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,17,20,17,Matheus & Kauan
19,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,17,24,MC Tairon
20,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,1,16,20,Mc Jacaré
21,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,18,21,27,Israel & Rodolffo
22,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,22,31,4,Guilherme & Benuto
23,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,10,22,30,Jorge & Mateus
24,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,24,54,2,DJ Dozabri
25,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,25,48,7,Felipe e Rodrigo
26,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,6,19,18,DJ AK BR
27,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,21,23,27,Mari Fernandez
28,spotify:track:2XaEn8iznBz9ZE9YJqJdQ6,Revoada do Tubarão 3,28,95,2,MC Ryan SP
29,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,25,25,17,Murilo Huff
30,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,14,30,37,Matheus & Kauan
31,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,21,26,26,Mc Paiva ZS
32,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,7,24,11,Pineapple StormTv
