rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,1,5,Gustavo Mioto
2,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,3,15,Mc Paiva ZS
3,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,2,2,18,Guilherme & Benuto
4,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,3,4,10,Guilherme & Benuto
5,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,5,5,8,Diego & Victor Hugo
6,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,6,6,12,Jorge & Mateus
7,spotify:track:2orGm2E68ODFYOURjaES62,Felina,7,8,5,WIU
8,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,7,19,L7NNON
9,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,9,10,3,Gusttavo Lima
10,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,9,21,Ana Castela
11,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,11,27,3,Dj LK da Escócia
12,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,1,12,15,Mc Jacaré
13,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,7,11,6,Pineapple StormTv
14,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,13,19,MC Tairon
15,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,14,41,Hugo & Guilherme
16,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,6,15,13,DJ AK BR
17,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,17,19,12,Matheus & Kauan
18,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,16,30,Matheus Fernandes
19,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,10,18,25,Jorge & Mateus
20,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,5,17,11,Luan Santana
