rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,1,2,4,Luan Pereira
2,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,1,9,MC Kevin o Chris
3,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,3,4,28,Grupo Menos É Mais
4,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,1,5,13,Mc Livinho
5,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,5,—,1,Dj GBR
6,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,6,18,3,Gusttavo Lima
7,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,4,7,11,Ana Castela
8,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,6,18,DENNIS
9,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,8,33,AgroPlay
10,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,10,15,7,Felipe Amorim
11,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,8,11,10,Gusttavo Lima
12,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,4,9,12,Luan Pereira
13,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,13,16,13,Zé Neto & Cristiano
14,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,12,34,Simone Mendes
15,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,10,29,Israel & Rodolffo
16,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,16,32,11,Zé Neto & Cristiano
17,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,3,3,3,Luísa Sonza
18,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,8,13,10,Vulgo FK
19,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,17,32,Guilherme & Benuto
20,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",3,14,14,Mc Pedrinho
21,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,19,19,7,Felipe Amorim
22,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,13,20,15,Luan Santana
23,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,18,21,19,Guilherme & Benuto
24,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,5,22,18,Veigh
25,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,24,24,14,Diego & Victor Hugo
26,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",20,23,13,Melody
27,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,12,25,13,Kadu Martins
28,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,5,26,33,Henrique & Juliano
29,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,29,38,8,Gusttavo Lima
30,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,10,36,27,Luan Pereira
31,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,29,40,Marília Mendonça
32,spotify:track:0SWDToufOxRVIngk8c1oZi,AMBIENTE ERRADO - Ao Vivo,29,34,7,Luan Santana
33,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",24,27,5,Mc IG
34,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),34,37,4,Ana Castela
35,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,4,30,33,Matheus & Kauan
36,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,12,35,35,Gustavo Mioto
37,spotify:track:2uGk60j3LR5bp6tGq9vtII,Halls na Língua - Remix,23,33,9,GORDÃO DO PC
38,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,36,42,17,Israel & Rodolffo
39,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",7,31,13,Dyamante DJ
40,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,22,40,20,Zé Neto & Cristiano
