rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,1,12,Mc Paiva ZS
2,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,2,2,15,Guilherme & Benuto
3,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,3,10,7,Guilherme & Benuto
4,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,3,18,Ana Castela
5,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,4,16,L7NNON
6,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,6,32,2,Gustavo Mioto
7,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,1,5,12,Mc Jacaré
8,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,5,8,8,Luan Santana
9,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,6,6,10,DJ AK BR
10,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,7,7,3,Pineapple StormTv
11,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,9,9,9,Jorge & Mateus
12,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,12,23,5,Diego & Victor Hugo
13,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,11,16,MC Tairon
14,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,9,12,13,Gusttavo Lima
15,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,13,13,9,Hugo & Guilherme
16,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,14,38,Hugo & Guilherme
17,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,17,17,9,Matheus & Kauan
18,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,10,16,22,Jorge & Mateus
19,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,8,15,12,MC Kevin o Chris
20,spotify:track:4QQTPEwqE4Aq7LXSyIgSci,Primeiro Beck Ela Me Mamou,20,20,4,Mc Kitinho
