rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,1,15,Mari Fernandez
2,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,3,14,João Gomes
3,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,2,2,4,Nivaldo Marques
4,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,4,7,8,L7NNON
5,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,5,22,Matheus Fernandes
6,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,4,6,8,Zé Felipe
7,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,4,4,4,Luísa Sonza
8,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,9,20,Felipe Amorim
9,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,9,10,6,Ana Castela
10,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,11,17,MC Rogerinho
11,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,8,3,Marília Mendonça
12,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,6,13,20,Leo Santana
13,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,9,12,12,Wesley Safadão
14,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,14,18,5,Kadu Martins
15,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,13,14,5,Gusttavo Lima
16,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,16,35,2,Felipe Amorim
17,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,16,19,Matuê
18,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,18,22,8,NATTAN
