rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,1,16,Dj GBR
2,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,1,3,14,Manu
3,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,2,4,42,Grupo Menos É Mais
4,spotify:track:6XvFnICxXsVc8OK4eh1E9b,Tem Café,4,8,3,Henry Freitas
5,spotify:track:2twZl1jsRbJRTNCE6VB6eW,10 Carros,1,2,6,Chefin
6,spotify:track:2sYFUcurlISdHlAsnYCEgD,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,5,5,3,Lauana Prado
7,spotify:track:1GOS5OIo4KywJF7Fw9QR4E,A Gente Se Entrega,7,7,11,NATTAN
8,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,1,6,24,Felipe Amorim
9,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,11,54,NATTAN
10,spotify:track:0wuj2T6IZtotux1Jjluo7m,Cama Repetida,10,12,6,Leo Santana
11,spotify:track:697gwO5YoSGVAnlfREIZll,Tenho Que Me Decidir,6,9,4,MC PH
12,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,6,10,14,Simone Mendes
13,spotify:track:2IDf0IZ9dfw0uDYV2n1bJc,DEJA VU,13,13,4,Luan Santana
14,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,4,14,47,Simone Mendes
15,spotify:track:7MLX5VV97CcXIpH2QUIy13,Pane no Sistema,5,16,10,GREGO
16,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,2,22,23,Felipe Amorim
17,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,2,24,40,Grandão Vaqueiro
18,spotify:track:4QCwvUs4ob87Tq9VP07Uo3,Loucura,10,15,3,Borges
19,spotify:track:7g7I8fjEERZH8DH3e6MUw7,Canudinho - Ao Vivo,11,20,17,Gusttavo Lima
