rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,1,12,Gustavo Mioto
2,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,2,2,6,MC MENOR HR
3,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),3,3,7,Kadu Martins
4,spotify:track:2orGm2E68ODFYOURjaES62,Felina,4,5,11,WIU
5,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,4,33,Mari Fernandez
6,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,6,7,6,Orochi
7,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,2,6,20,Felipe Amorim
8,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,8,12,10,Dj LK da Escócia
9,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,4,8,19,Mc Paiva ZS
10,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,10,13,3,Zé Felipe
11,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,9,13,Pineapple StormTv
12,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,10,15,5,Israel & Rodolffo
13,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,6,14,15,Guilherme & Benuto
14,spotify:track:3DNhR7P04alm9S4JA6Llvg,Mó Viagem,14,39,3,Felipe Amorim
15,spotify:track:4pzRxLzkLjnqnrOL0VMV5w,Não Fosse Tão Tarde - Ao Vivo,15,16,9,Wesley Safadão
16,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,10,32,João Gomes
17,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,10,17,23,Guilherme & Benuto
18,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,11,40,Matheus Fernandes
19,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,14,19,8,Matheus & Kauan
20,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,13,20,24,MC Cabelinho
21,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,21,79,2,WIU
22,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,8,23,37,Harry Styles
23,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,18,38,Felipe Amorim
24,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,4,21,26,L7NNON
25,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,20,22,11,MC Cabelinho
26,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),8,30,12,Sam Smith
27,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,27,48,3,DJ Dozabri
28,spotify:track:4nRa5qkXIfswPbt20rkslI,Debaixo do Cobertor,13,26,26,Felipe Amorim
29,spotify:track:5t7E1z1kVtHyPxWNmUtXN4,Te Love - Ao Vivo,14,25,12,Kevi Jonny
30,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,6,24,38,Leo Santana
31,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,16,28,12,Diego & Victor Hugo
32,spotify:track:7G2LNG0EDgU5IyeeP6pevW,Pode Apostar - Ao Vivo,32,36,27,Mari Fernandez
33,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,18,31,17,Jorge & Mateus
34,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,14,29,23,Kadu Martins
35,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,27,35,MC Rogerinho
36,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,32,37,Matuê
37,spotify:track:2rtsT3CefzKc05JdAm8aQ5,Digo ou Não Digo - Ao Vivo,37,38,9,João Gomes
38,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,16,33,10,Gusttavo Lima
39,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,7,37,48,Hugo & Guilherme
40,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,40,21,Marília Mendonça
41,spotify:track:0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,41,49,4,Yago Oproprio
42,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,15,34,26,NATTAN
43,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,15,44,37,NATTAN
