rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,1,5,Leo Santana
2,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,2,2,10,NATTAN
3,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,3,12,Marília Mendonça
5,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,2,10,13,WIU
6,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,4,7,13,Anitta
7,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,5,8,10,Sony no Beat
8,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,4,4,4,Zé Felipe
9,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),1,6,13,Kadu Martins
10,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,9,9,8,Matheus Fernandes
11,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,12,13,Gustavo Mioto
12,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,4,13,13,Israel & Rodolffo
13,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,9,22,5,Teto
14,spotify:track:2orGm2E68ODFYOURjaES62,Felina,4,27,13,WIU
15,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,15,40,10,MC Cabelinho
16,spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,3,37,7,Miley Cyrus
17,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,5,33,13,Orochi
18,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,18,29,2,AgroPlay
19,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,4,15,13,Mari Fernandez
20,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,20,35,4,Henrique & Juliano
21,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,14,26,8,Mc Tato
22,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,22,32,3,Matheus & Kauan
23,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,23,24,3,MC Xenon
