rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,8,Xamã
2,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,2,13,Zé Felipe
3,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,4,13,Mari Fernandez
4,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,3,3,4,Chefin
5,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,5,30,2,Zé Felipe
6,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,6,6,13,George Henrique & Rodrigo
7,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,2,5,17,PEDRO SAMPAIO
8,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,8,10,10,Wesley Safadão
9,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,9,9,4,Hugo & Guilherme
10,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,8,17,Marília Mendonça
11,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,6,7,11,Gusttavo Lima
12,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,8,11,9,DJ Matt D
13,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,13,15,6,Mc Don Juan
14,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,2,12,16,Paulo Pires
15,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,15,29,3,Dj Guuga
16,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,16,16,2,Anitta
17,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,14,14,9,Anitta
18,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,9,13,14,Marília Mendonça
19,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,6,17,17,Henrique & Juliano
20,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,18,19,9,Jorge & Mateus
21,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,2,20,17,Zé Felipe
22,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,3,18,17,Felipe Amorim
23,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,21,22,7,Melody
24,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,19,23,17,Henrique & Juliano
