rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6XvFnICxXsVc8OK4eh1E9b,Tem Café,1,1,5,Henry Freitas
2,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,2,18,Dj GBR
3,spotify:track:2twZl1jsRbJRTNCE6VB6eW,10 Carros,1,3,8,Chefin
4,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,1,5,16,Manu
5,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,2,6,44,Grupo Menos É Mais
6,spotify:track:697gwO5YoSGVAnlfREIZll,Tenho Que Me Decidir,4,4,6,MC PH
7,spotify:track:0oQCRjrWGvkqkdf82UlXI3,POCPOC,7,14,6,PEDRO SAMPAIO
8,spotify:track:1GOS5OIo4KywJF7Fw9QR4E,A Gente Se Entrega,7,7,13,NATTAN
9,spotify:track:4QCwvUs4ob87Tq9VP07Uo3,Loucura,9,11,5,Borges
10,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,1,8,26,Felipe Amorim
11,spotify:track:0wuj2T6IZtotux1Jjluo7m,Cama Repetida,10,10,8,Leo Santana
12,spotify:track:2sYFUcurlISdHlAsnYCEgD,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,5,9,5,Lauana Prado
13,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,13,56,NATTAN
14,spotify:track:2IDf0IZ9dfw0uDYV2n1bJc,DEJA VU,13,17,6,Luan Santana
15,spotify:track:7gaA3wERFkFkgivjwbSvkG,"yes, and?",15,—,1,Ariana Grande
16,spotify:track:1T9dxi40GuNW3gNRHwk8P4,Macetando,16,34,3,Ivete Sangalo
17,spotify:track:3PGg3V56krasXrPKNvVLQU,Amor Livre - Ao Vivo,17,45,5,Filipe Ret
18,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,2,16,25,Felipe Amorim
19,spotify:track:7MLX5VV97CcXIpH2QUIy13,Pane no Sistema,5,15,12,GREGO
20,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,19,35,Veigh
21,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,6,20,21,MC Rogerinho
22,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,6,26,13,Tropa do Bruxo
23,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,6,18,16,Simone Mendes
24,spotify:track:7g7I8fjEERZH8DH3e6MUw7,Canudinho - Ao Vivo,11,24,19,Gusttavo Lima
25,spotify:track:1kWcd9h9HoeXsKaDVhSOtj,Ela - Ao Vivo,17,27,18,Sorriso Maroto
26,spotify:track:6bJJMJaPdA1lYXvBXsjpvA,Você Lembra,21,28,9,Raphaela Santos
27,spotify:track:5Htol3nnPzphX76oORiNHb,Golzinho Vermelho - Ao Vivo,24,29,20,Leo Santana
28,spotify:track:3ybvcngBWfJ5YAU8PLYIVy,Sem Lovezinho,28,33,3,Felipe Amorim
29,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,15,31,18,Zé Neto & Cristiano
30,spotify:track:3pLyNmLlw6uRrKaNwMnXOR,Não Precisa Negar,21,21,5,Josué Bom de Faixa
31,spotify:track:2cZ62VBKsdZ7u1kKKJdFOc,Sou Musa do Verão,14,39,11,Marshmello
32,spotify:track:7dKqPh21HpsysZvRWyNeM1,Bênçãos Que Não Têm Fim (Counting My Blessings),11,36,8,Isadora Pompeo
33,spotify:track:7k8YBbVumvWI1ujyjWbvlo,Nunca Mais - Ao Vivo,20,25,43,NATTAN
34,spotify:track:1CtcgU1q0BgJN4Aottdscu,Joga Pra Lua,34,46,5,Anitta
35,spotify:track:07wcQ1j2RrORokWq3HaXex,Quem É o Louco Entre Nós,16,35,31,Raphaela Santos
36,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,9,41,33,Guilherme & Benuto
37,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,4,22,49,Simone Mendes
38,spotify:track:54FV2rMVwLusAVnzROB0c1,Mesma História,17,44,11,Orochi
39,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,2,23,38,Eric Land
40,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,4,38,41,Felipe Amorim
41,spotify:track:5HlcsBdjb5TiZeZ3ngWRv0,5 Da Manhã - Ao Vivo,21,37,17,Raí Saia Rodada
42,spotify:track:05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,32,32,6,Peso Pluma
43,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,2,30,42,Grandão Vaqueiro
44,spotify:track:1xjy8WRyYUkayJcyyWQpYe,Fronteira - Ao Vivo,41,42,6,Ana Castela
45,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,4,43,27,Vulgo FK
46,spotify:track:23IebZSNZ8VzwUr4rJNGRG,MEIO TERMO - Ao Vivo,28,47,32,Luan Santana
47,spotify:track:1kolqJR4ZYYfuZy7v5GwBx,Poesia Acústica 15,47,50,4,Pineapple StormTv
48,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),3,53,25,MC Kevin o Chris
49,spotify:track:0btol0yAwaK1mJdyQfnKFn,Eu Nem Lembro,29,48,26,Henry Freitas
50,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,40,58,Marília Mendonça
51,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,8,55,7,Leo Santana
52,spotify:track:0DvNF3jz0NTvaZWZR58wsz,Sarra Pros Bandido,52,67,2,Arthurzinho Batedeira
53,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,49,34,DENNIS
54,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,14,58,28,Ana Castela
55,spotify:track:4VI4yOAb7fWrFCnuGBIaeG,Carta Aberta,24,51,7,MC Cabelinho
56,spotify:track:6CQWmtVuHcGGdWLfcpOpbp,Foto da Unha,56,56,4,L7NNON
57,spotify:track:3jTyFoGeD3DTu9cnnctMWN,DENTRO DA HILUX,14,52,19,Luan Pereira
58,spotify:track:56JVZMurnXPoy1HbB4dcNV,Abismo,55,61,11,Manu
59,spotify:track:1bjvTcHiftBtqeK6Y2Mh8H,Para de Mentir,45,62,8,Oruam
60,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,16,65,41,KayBlack
61,spotify:track:5nnnNbMarkWKkAzZhVG3Bh,Literalmente,46,54,8,Tarcísio do Acordeon
62,spotify:track:5vyu6cCIflFAmGZwnjyrq7,Ela joga no 7,47,64,9,Tz da Coronel
63,spotify:track:6zHAZLcOVy5sFRHZhMLfoV,É O Henry,63,73,2,Henry Freitas
64,spotify:track:4fgnNikmEUvXze89h3X47m,Morena,34,59,22,NATTAN
65,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),57,83,13,Ana Castela
66,spotify:track:06WkQibI8OhOLjDxIRKu5B,Ainda Gosto de Você / Já Era - Ao Vivo,65,66,12,Sorriso Maroto
67,spotify:track:64aW2o0Dyg06rgX1jdRjQH,Teus Sinais,38,68,25,Felipe Amorim
