rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,1,14,Mari Fernandez
2,spotify:track:1rJFFWDXrlMS0C5JlbqFbI,Tem Cabaré Essa Noite,2,2,3,Nivaldo Marques
3,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,3,13,João Gomes
4,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,4,6,3,Luísa Sonza
5,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,5,21,Matheus Fernandes
6,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,4,4,7,Zé Felipe
7,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,6,8,7,L7NNON
8,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,9,2,Marília Mendonça
9,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,7,19,Felipe Amorim
10,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,10,10,5,Ana Castela
11,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,11,16,MC Rogerinho
12,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,9,12,11,Wesley Safadão
13,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,6,14,19,Leo Santana
14,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,13,13,4,Gusttavo Lima
15,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,10,16,6,MC Tairon
16,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,18,18,Matuê
17,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,15,20,Davi Kneip
18,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,17,17,4,Kadu Martins
19,spotify:track:1Hohk6AufHZOrrhMXZppax,ALIEN SUPERSTAR,19,—,1,Beyoncé
20,spotify:track:7bh2ybqXcEoIYL8FwiAMou,Intuição - Ao Vivo,20,32,7,Mari Fernandez
21,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,21,28,13,Jorge & Mateus
22,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,22,30,7,NATTAN
23,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,15,19,18,NATTAN
24,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,BREAK MY SOUL,24,—,1,Beyoncé
25,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,8,20,35,Wesley Safadão
26,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,8,27,18,Harry Styles
27,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,9,26,8,Baco Exu do Blues
28,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,7,23,18,Gusttavo Lima
29,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,6,34,18,Teto
30,spotify:track:5ildQOEKmJuWGl2vRkFdYc,DESPECHÁ,30,—,1,ROSALÍA
31,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,7,21,29,Hugo & Guilherme
32,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,25,38,Mari Fernandez
33,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,33,78,2,Mc Poze do Rodo
34,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,9,24,16,Luan Santana
35,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,35,—,1,Felipe Amorim
36,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,36,—,1,Beyoncé
37,spotify:track:4m1mqQuy34Nzh0480VR364,Incendeia,37,43,2,MC Kevin o Chris
38,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,12,31,12,O Tubarão
39,spotify:track:3QxKHcpNt6CWNUYCLLBHeZ,Escolhe o Bandido,37,37,4,MC CH da Z.O
40,spotify:track:4nRa5qkXIfswPbt20rkslI,Debaixo do Cobertor,13,36,7,Felipe Amorim
41,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,13,33,10,Mc Don Juan
42,spotify:track:1MpCaOeUWhox2Fgigbe1cL,I'M THAT GIRL,42,—,1,Beyoncé
43,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,38,25,PEDRO SAMPAIO
44,spotify:track:0mKGwFMHzTprtS2vpR3b6s,COZY,44,—,1,Beyoncé
45,spotify:track:0314PeD1sQNonfVWix3B2K,ENERGY (feat. Beam),45,—,1,Beyoncé
46,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,46,51,4,Guilherme & Benuto
47,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,33,52,8,Teto
48,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,48,—,1,Mc Jacaré
49,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,40,27,Zé Felipe
50,spotify:track:4PF5eA9ng97UcU5hjaqQnc,Meu Cafofo,16,53,20,João Gomes
51,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,57,42,João Gomes
52,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,42,45,19,Matheus & Kauan
53,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,1,42,26,MC Rogerinho
54,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,29,48,14,MC Braz
55,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,55,62,5,MC Cabelinho
56,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),14,44,10,Kate Bush
57,spotify:track:6KKT8dzP21J4WwBp9swjob,Sonho Dos Cria,45,56,7,Filipe Ret
58,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,41,42,Marília Mendonça
59,spotify:track:7G2LNG0EDgU5IyeeP6pevW,Pode Apostar - Ao Vivo,42,58,8,Mari Fernandez
60,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,21,60,34,Mc Poze do Rodo
61,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,19,46,42,Henrique & Juliano
