rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,7,DENNIS
2,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,4,8,Veigh
3,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,3,29,NATTAN
4,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,4,7,7,Kadu Martins
5,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,2,2,11,Eric Land
6,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,4,5,22,Simone Mendes
7,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,7,21,2,Mc Livinho
8,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,2,6,15,Grandão Vaqueiro
9,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,8,8,5,Leo Santana
10,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,6,10,21,AgroPlay
11,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,9,18,Israel & Rodolffo
12,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,12,12,17,Grupo Menos É Mais
13,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",13,20,3,Mc Pedrinho
14,spotify:track:6F0ldIcRC6oCcn3hDukg9T,Cadê Seu Namorado Moça?,9,11,8,Thales Lessa
15,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,15,11,Matuê
16,spotify:track:3Nvzs0cJbLwhXPPlI8xzpC,Vai Novinha Ah Ah Ah,16,19,3,Dyamante DJ
17,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,1,13,9,MC Caverinha
18,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,13,17,8,Veigh
19,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,4,14,15,KayBlack
20,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",20,26,3,Melody
21,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,2,23,32,WIU
22,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,18,31,Marília Mendonça
23,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,5,22,23,MC Rogerinho
24,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,9,25,22,Matheus & Kauan
25,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,14,27,23,Henrique & Juliano
26,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,24,34,20,Guilherme & Benuto
27,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,14,24,19,Zé Neto & Cristiano
28,spotify:track:6p6ohOKSzL4JaIRzSeOmWx,Cama Embrasa,16,29,9,Felipe Amorim
29,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,13,33,14,KayBlack
30,spotify:track:3fkLH5wAzni4mcXl4c6cAC,Sinal,28,31,7,Nadson O Ferinha
31,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,28,28,5,Luan Santana
32,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,4,32,14,Felipe Amorim
33,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,16,35,14,KayBlack
34,spotify:track:7k8YBbVumvWI1ujyjWbvlo,Nunca Mais - Ao Vivo,23,30,16,NATTAN
35,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,38,42,Gustavo Mioto
