rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,4,DENNIS
2,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,3,14,NATTAN
3,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,3,7,8,Eric Land
4,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,2,5,Veigh
5,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,4,4,14,Simone Mendes
6,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,5,14,Israel & Rodolffo
7,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,2,9,12,Grandão Vaqueiro
8,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,6,8,14,AgroPlay
9,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,1,6,6,MC Caverinha
10,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,10,8,Matuê
11,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,2,12,14,Marília Mendonça
12,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,4,11,12,KayBlack
13,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,9,18,14,Matheus & Kauan
14,spotify:track:6MpYP4LUSb1MWfpsdToKyH,Duas,11,14,9,Nadson O Ferinha
15,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,14,15,14,Grupo Menos É Mais
16,spotify:track:6p6ohOKSzL4JaIRzSeOmWx,Cama Embrasa,16,22,6,Felipe Amorim
17,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,13,13,5,Veigh
18,spotify:track:6F0ldIcRC6oCcn3hDukg9T,Cadê Seu Namorado Moça?,18,26,5,Thales Lessa
19,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,14,16,14,Zé Neto & Cristiano
20,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,5,19,14,MC Rogerinho
21,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,4,17,14,WIU
22,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,22,75,2,Leo Santana
23,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,23,34,4,Kadu Martins
24,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,4,25,11,Felipe Amorim
25,spotify:track:7k8YBbVumvWI1ujyjWbvlo,Nunca Mais - Ao Vivo,23,23,13,NATTAN
26,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,14,21,14,Henrique & Juliano
27,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,13,20,11,KayBlack
28,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,9,27,14,Gustavo Mioto
29,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,16,24,11,KayBlack
30,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,24,29,14,Guilherme & Benuto
31,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,9,28,14,Israel & Rodolffo
32,spotify:track:3tdILSeFJLx3Op5tEjkQtq,Jorge & Mateus,32,39,3,Zé Vaqueiro
33,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,33,42,14,Gustavo Mioto
34,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,13,38,12,Wesley Safadão
35,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,10,31,14,Matheus Fernandes
36,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,32,40,14,Mari Fernandez
37,spotify:track:3fkLH5wAzni4mcXl4c6cAC,Sinal,33,33,4,Nadson O Ferinha
38,spotify:track:3xCkNUiap7EBjqnRldHSSh,Coladin (Minha Deusa),27,37,14,Zé Vaqueiro
39,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,26,30,8,MC Kevin o Chris
40,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,40,93,2,Luan Santana
41,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,1,36,14,Zé Felipe
42,spotify:track:3OWbJjQTOTUvU6jpVoKR9R,Vaqueira,38,48,14,Eric Land
43,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,23,35,14,MC Cabelinho
44,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,39,43,13,Clayton & Romário
45,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),16,49,14,Kadu Martins
46,spotify:track:3d1im1pw3WLuEty2k9XzTr,Clickbait,18,46,8,Veigh
47,spotify:track:1RV2pxtbw337ICUt30xOKX,Boy da Hilux,41,53,13,Yury Pressão
48,spotify:track:37U1pieDm2xSUe8jbb3p6Z,Eu Me Rendo (feat. Iguinho e Lulinha),39,51,14,Zé Vaqueiro
49,spotify:track:4gwVRLnHG5P6aOSRWiA052,Agora é Pra Valer,45,45,14,NATTAN
50,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,20,41,14,MC Cabelinho
51,spotify:track:0PudN847ZToV93jEVli48Y,Não Digita,37,47,6,Nadson O Ferinha
