rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,1,10,NATTAN
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,10,Marília Mendonça
4,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,2,4,10,WIU
5,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,5,8,Leo Santana
6,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,6,6,7,MC Rogerinho
7,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,6,7,5,AgroPlay
8,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,8,8,6,MC Xenon
9,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,10,10,Gustavo Mioto
10,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,8,9,10,Matheus Fernandes
11,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,11,—,1,Zé Felipe
12,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,4,12,10,Israel & Rodolffo
13,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,13,—,1,MC Kevin o Chris
14,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,5,11,10,Sony no Beat
15,spotify:track:2orGm2E68ODFYOURjaES62,Felina,8,14,10,WIU
16,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),5,13,10,Kadu Martins
17,spotify:track:6B5Nqt8DAciT2oqevzGbUc,Pilantra,17,52,2,Jão
18,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,15,15,7,Henrique & Juliano
19,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,19,22,6,Matheus & Kauan
20,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,20,27,3,Zé Neto & Cristiano
21,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Flowers,3,17,10,Miley Cyrus
22,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,15,19,10,MC Cabelinho
23,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,9,18,10,Orochi
24,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,4,16,10,Anitta
25,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,25,33,6,Simone Mendes
26,spotify:track:7aZnuwpivaj4N7XFhhqBiO,Love Absurdo,20,20,6,Mari Fernandez
27,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,4,23,7,Zé Felipe
28,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,28,38,2,Israel & Rodolffo
29,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,23,24,8,Gusttavo Lima
30,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,30,30,10,MC Cabelinho
31,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,14,25,10,Mc Tato
32,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,10,21,10,Mari Fernandez
33,spotify:track:3xCkNUiap7EBjqnRldHSSh,Coladin (Minha Deusa),16,29,10,Zé Vaqueiro
34,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,21,32,10,Pineapple StormTv
35,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,9,26,8,Teto
36,spotify:track:3YQvZNmRc2y1hgdvustkce,MINHA CURA,36,36,8,MC Cabelinho
37,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,12,31,10,Felipe Amorim
38,spotify:track:7CIj5SFTB6WPJrYjLZN5bp,Pega o Guanabara - Ao Vivo,14,34,10,Wesley Safadão
39,spotify:track:3OWbJjQTOTUvU6jpVoKR9R,Vaqueira,39,41,10,Eric Land
40,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,40,49,4,Veigh
41,spotify:track:2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,34,46,4,KayBlack
42,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,42,45,4,Guilherme & Benuto
43,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,42,42,10,MC Cabelinho
44,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,11,48,10,Zé Felipe
45,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,6,35,10,MC MENOR HR
46,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,32,43,8,Gustavo Mioto
48,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,23,37,10,Matheus & Kauan
49,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),13,40,10,Luísa Sonza
50,spotify:track:5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,20,39,10,Guilherme & Benuto
51,spotify:track:78qabjuI3mGUaREZk5hiEt,Não Manda Áudio,51,89,2,João Gomes
52,spotify:track:6a6UEfhgIKfzrZu1hqRYup,INEFÁVEL (feat. Leviano),52,57,3,Long beatz
53,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,31,44,10,Maiara & Maraisa
54,spotify:track:4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,22,28,4,The Weeknd
55,spotify:track:3O2wrDL7nnSDZOrdZqxyoY,Noite Fria,55,58,2,Mc IG
56,spotify:track:0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,56,56,4,Filipe Ret
57,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,18,47,10,DJ Jeeh FDC
58,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,38,54,10,Harry Styles
59,spotify:track:4pzRxLzkLjnqnrOL0VMV5w,Não Fosse Tão Tarde - Ao Vivo,25,53,10,Wesley Safadão
60,spotify:track:2rtsT3CefzKc05JdAm8aQ5,Digo ou Não Digo - Ao Vivo,36,55,10,João Gomes
61,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,42,51,10,SZA
62,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,33,60,10,Jorge & Mateus
63,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,53,59,10,Matuê
64,spotify:track:3AJwUDP919kvQ9QcozQPxg,Yellow,64,76,2,Coldplay
65,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,28,72,10,Matheus Fernandes
66,spotify:track:7G2LNG0EDgU5IyeeP6pevW,Pode Apostar - Ao Vivo,31,70,10,Mari Fernandez
67,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,25,64,10,João Gomes
68,spotify:track:4gwVRLnHG5P6aOSRWiA052,Agora é Pra Valer,68,71,6,NATTAN
69,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,38,63,10,Israel & Rodolffo
70,spotify:track:4eTtgdIXEy2LvLeg7NNSov,Vizão de Cria 2,67,67,4,Dallass
