rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,8,2,Matuê
2,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,1,13,NATTAN
3,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,2,3,13,Marília Mendonça
4,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,2,2,6,Grandão Vaqueiro
5,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,4,5,13,Simone Mendes
6,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,4,7,6,KayBlack
7,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,6,6,9,Israel & Rodolffo
8,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,6,9,12,AgroPlay
9,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,4,10,13,WIU
10,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,5,12,13,MC Rogerinho
11,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,4,4,5,Felipe Amorim
12,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,1,11,8,Zé Felipe
13,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,9,13,13,Matheus & Kauan
14,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,14,14,10,Zé Neto & Cristiano
15,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,15,17,5,KayBlack
16,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,16,23,5,KayBlack
17,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,9,16,13,Gustavo Mioto
18,spotify:track:5qOZbLAjBqInXwAECb9NRS,Clickbait,18,58,2,Veigh
19,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,14,15,13,Henrique & Juliano
20,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,15,25,13,MC Cabelinho
21,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,9,18,13,Israel & Rodolffo
22,spotify:track:2orGm2E68ODFYOURjaES62,Felina,13,21,13,WIU
23,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,23,29,13,MC Cabelinho
24,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,8,19,13,Matheus Fernandes
25,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,24,24,8,Grupo Menos É Mais
26,spotify:track:6MpYP4LUSb1MWfpsdToKyH,Duas,26,48,3,Nadson O Ferinha
27,spotify:track:3xCkNUiap7EBjqnRldHSSh,Coladin (Minha Deusa),16,34,13,Zé Vaqueiro
28,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,22,13,Leo Santana
29,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,16,33,13,Orochi
30,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,13,20,6,Wesley Safadão
31,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,27,27,11,Guilherme & Benuto
32,spotify:track:3YQvZNmRc2y1hgdvustkce,MINHA CURA,32,44,13,MC Cabelinho
33,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,10,31,13,Teto
34,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),18,26,4,MC PH
35,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,8,35,13,MC Xenon
36,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,36,37,13,Matuê
37,spotify:track:7aZnuwpivaj4N7XFhhqBiO,Love Absurdo,20,30,13,Mari Fernandez
38,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,29,45,13,Pineapple StormTv
39,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,39,53,2,Eric Land
40,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,15,36,13,Mari Fernandez
41,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,26,42,11,Veigh
42,spotify:track:0P0k5KoLcxi0kf1jik4v8X,Deixa Eu Viver - Ao Vivo,32,32,3,Mari Fernandez
43,spotify:track:4tuFNhM69UakXdPg4RrNvp,Deus Perdoa,22,52,7,Filipe Ret
44,spotify:track:5H3m39zgDfXU2bFVA3e2YQ,TE ENCONTREI,44,—,1,MC Cabelinho
45,spotify:track:2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,34,61,11,KayBlack
46,spotify:track:7aOBf2xYbux3bo1fwISo6b,BEM MELHOR,46,—,1,MC Cabelinho
47,spotify:track:5FG4xRLY2JM6lSDCsbBfoi,A Culpa É Nossa,47,73,2,Nadson O Ferinha
48,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,42,80,13,MC Cabelinho
49,spotify:track:37U1pieDm2xSUe8jbb3p6Z,Eu Me Rendo (feat. Iguinho e Lulinha),39,39,8,Zé Vaqueiro
50,spotify:track:5v8EhStRWlvoY2qbcZR5R2,Mágica - Ao Vivo,40,40,5,Hugo & Guilherme
51,spotify:track:0ssgd2ZvDawP0KHGfBYRpv,Good Vibe,44,55,11,Filipe Ret
52,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,52,59,2,MC Kevin o Chris
53,spotify:track:7CIj5SFTB6WPJrYjLZN5bp,Pega o Guanabara - Ao Vivo,14,38,13,Wesley Safadão
54,spotify:track:1RV2pxtbw337ICUt30xOKX,Boy da Hilux,41,41,7,Yury Pressão
55,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,41,47,7,Clayton & Romário
56,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,21,46,13,Gusttavo Lima
