rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,1,10,Dj GBR
2,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,1,2,8,Manu
3,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,2,3,36,Grupo Menos É Mais
4,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,1,4,18,Felipe Amorim
5,spotify:track:7GjAXYuxjuXPbQJzRnNdob,Pane no Sistema,5,10,4,GREGO
6,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,6,7,5,Tropa do Bruxo
7,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,12,27,Veigh
8,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,2,5,17,Felipe Amorim
9,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,9,17,25,Guilherme & Benuto
10,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,6,6,8,Simone Mendes
11,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,8,48,NATTAN
12,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,6,11,13,MC Rogerinho
13,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,4,9,9,Flora Matos
14,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,11,13,11,Gusttavo Lima
15,spotify:track:2cZ62VBKsdZ7u1kKKJdFOc,Sou Musa do Verão,14,14,3,Marshmello
16,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,4,18,19,Vulgo FK
17,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,2,15,30,Eric Land
18,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,15,20,10,Zé Neto & Cristiano
19,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),3,16,17,MC Kevin o Chris
20,spotify:track:1kWcd9h9HoeXsKaDVhSOtj,Ela - Ao Vivo,20,37,10,Sorriso Maroto
21,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,14,19,20,Ana Castela
22,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,16,28,33,KayBlack
23,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,14,24,11,Luan Pereira
24,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,22,26,DENNIS
25,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,21,50,Marília Mendonça
26,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,1,23,26,Kadu Martins
27,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,13,32,27,Veigh
28,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,4,26,33,Felipe Amorim
29,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,29,69,3,Taylor Swift
30,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,4,25,41,Simone Mendes
31,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,2,27,34,Grandão Vaqueiro
32,spotify:track:54FV2rMVwLusAVnzROB0c1,Mesma História,32,44,3,Orochi
33,spotify:track:1GOS5OIo4KywJF7Fw9QR4E,A Gente Se Entrega,33,47,5,NATTAN
34,spotify:track:07wcQ1j2RrORokWq3HaXex,Quem É o Louco Entre Nós,16,33,23,Raphaela Santos
35,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,6,31,40,AgroPlay
36,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,25,29,9,MC Maneirinho
37,spotify:track:5HlcsBdjb5TiZeZ3ngWRv0,5 Da Manhã - Ao Vivo,21,30,9,Raí Saia Rodada
38,spotify:track:4fgnNikmEUvXze89h3X47m,Morena,34,34,14,NATTAN
39,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Quase Algo - Ao Vivo Em Nova Iorque / 2022,36,36,6,Henrique & Juliano
40,spotify:track:7k8YBbVumvWI1ujyjWbvlo,Nunca Mais - Ao Vivo,23,39,35,NATTAN
41,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,55,86,Matuê
42,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,4,42,34,KayBlack
43,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,43,30,Matuê
44,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,28,56,24,Luan Santana
45,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,35,37,Israel & Rodolffo
46,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,24,38,39,Guilherme & Benuto
47,spotify:track:5Htol3nnPzphX76oORiNHb,Golzinho Vermelho - Ao Vivo,47,48,12,Leo Santana
48,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,48,54,2,Israel & Rodolffo
