rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,1,10,Gustavo Mioto
2,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,2,2,4,MC MENOR HR
3,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),3,3,5,Kadu Martins
4,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,4,31,Mari Fernandez
5,spotify:track:2orGm2E68ODFYOURjaES62,Felina,4,5,9,WIU
6,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,2,6,18,Felipe Amorim
7,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,7,10,4,Orochi
8,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,4,7,17,Mc Paiva ZS
10,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,8,11,Pineapple StormTv
11,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,13,30,João Gomes
12,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,6,12,13,Guilherme & Benuto
13,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,10,11,21,Guilherme & Benuto
14,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,10,14,3,Israel & Rodolffo
15,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,15,38,Matheus Fernandes
16,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,16,17,8,Dj LK da Escócia
17,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,14,16,6,Matheus & Kauan
18,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,13,19,22,MC Cabelinho
19,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,20,36,Felipe Amorim
20,spotify:track:6TnCI16uLWhyQCrHva9VWj,Te Love - Ao Vivo,14,22,10,Kevi Jonny
21,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,20,23,9,MC Cabelinho
22,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,4,18,24,L7NNON
23,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),8,21,10,Sam Smith
24,spotify:track:4nRa5qkXIfswPbt20rkslI,Debaixo do Cobertor,13,26,24,Felipe Amorim
25,spotify:track:3QXBOJvtqhMcFR3ZPfyRQ4,Não Fosse Tão Tarde - Ao Vivo,25,29,7,Wesley Safadão
26,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,16,24,10,Diego & Victor Hugo
27,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,6,25,36,Leo Santana
28,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,33,35,Matuê
29,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,8,35,35,Harry Styles
30,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,14,31,21,Kadu Martins
31,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,15,32,24,NATTAN
32,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,28,33,MC Rogerinho
33,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,16,27,8,Gusttavo Lima
34,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,18,30,15,Jorge & Mateus
35,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,35,—,1,Zé Felipe
36,spotify:track:7G2LNG0EDgU5IyeeP6pevW,Pode Apostar - Ao Vivo,34,34,25,Mari Fernandez
37,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,7,43,46,Hugo & Guilherme
38,spotify:track:40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,26,36,27,Mari Fernandez
39,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,7,39,22,Ana Castela
40,spotify:track:57nvtO3EJuh6zuB67R3QeF,Frio e Calculista,38,38,3,Mc Poze do Rodo
41,spotify:track:2rtsT3CefzKc05JdAm8aQ5,Digo ou Não Digo - Ao Vivo,41,42,7,João Gomes
42,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,15,40,35,NATTAN
43,spotify:track:5cCwZJUf8QiCQGnyakhpmF,Papo de Agustinho,43,44,6,Oruam
44,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,45,19,Marília Mendonça
45,spotify:track:3gx9a8ea1nI0Wym9hJpdbJ,Hino dos Mlks,45,57,4,BIN
46,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,33,41,19,Mc Poze do Rodo
47,spotify:track:5wAoMzm5LaIvGED0JNeBfY,Cão Sem Dono,41,46,8,Mari Fernandez
48,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,2,37,20,Nivaldo Marques
49,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,21,48,51,Mc Poze do Rodo
50,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,21,50,30,Jorge & Mateus
51,spotify:track:63q5Qb9ERTpapEmARxKBE6,Pega o Guanabara - Ao Vivo,46,49,7,Wesley Safadão
52,spotify:track:7zuRphSG633kVAgopDVdHY,"Te Amar, Te Amar",52,59,3,Iguinho e Lulinha
53,spotify:track:6KKT8dzP21J4WwBp9swjob,Sonho Dos Cria,45,53,24,Filipe Ret
54,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,6,65,35,Teto
55,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,72,37,Davi Kneip
56,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,36,56,9,Beyoncé
57,spotify:track:4eTtgdIXEy2LvLeg7NNSov,Vizão de Cria 2,57,63,12,Dallass
58,spotify:track:7bh2ybqXcEoIYL8FwiAMou,Intuição - Ao Vivo,17,58,24,Mari Fernandez
