rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,1,5,Gustavo Mioto
2,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,2,26,Mari Fernandez
3,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,3,6,Pineapple StormTv
4,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,4,4,12,Mc Paiva ZS
5,spotify:track:2orGm2E68ODFYOURjaES62,Felina,5,10,4,WIU
6,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,6,7,8,Guilherme & Benuto
7,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,5,25,João Gomes
8,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,2,8,13,Felipe Amorim
9,spotify:track:0V3wPSX9ygBnCm8psDIegu,Anti-Hero,9,—,1,Taylor Swift
10,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,6,33,Matheus Fernandes
11,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),8,9,5,Sam Smith
12,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,10,11,16,Guilherme & Benuto
13,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,4,12,19,L7NNON
14,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,13,31,Felipe Amorim
15,spotify:track:6TnCI16uLWhyQCrHva9VWj,Te Love - Ao Vivo,14,14,5,Kevi Jonny
16,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,16,22,5,Diego & Victor Hugo
17,spotify:track:4nRa5qkXIfswPbt20rkslI,Debaixo do Cobertor,13,15,19,Felipe Amorim
18,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,18,18,10,Jorge & Mateus
19,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,6,20,31,Leo Santana
20,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,20,21,17,MC Cabelinho
21,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,17,28,MC Rogerinho
22,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,2,16,15,Nivaldo Marques
23,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,23,—,1,Taylor Swift
24,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,24,39,3,Dj LK da Escócia
25,spotify:track:1wtOxkiel43cVs0Yux5Q4h,Snow On The Beach (feat. Lana Del Rey),25,—,1,Taylor Swift
26,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,19,19,3,Gusttavo Lima
27,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,14,37,16,Kadu Martins
28,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,23,30,Matuê
29,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,29,31,4,MC Cabelinho
30,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,9,27,23,Wesley Safadão
31,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Midnight Rain,31,—,1,Taylor Swift
32,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,15,24,19,NATTAN
33,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,8,25,30,Harry Styles
34,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,7,26,17,Ana Castela
35,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,28,14,Marília Mendonça
36,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,Maroon,36,—,1,Taylor Swift
37,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,7,29,41,Hugo & Guilherme
38,spotify:track:4D7BCuvgdJlYvlX5WlN54t,"You're On Your Own, Kid",38,—,1,Taylor Swift
39,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,33,34,14,Mc Poze do Rodo
40,spotify:track:40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,26,33,22,Mari Fernandez
41,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,Vigilante Shit,41,—,1,Taylor Swift
42,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,7,30,11,Luan Santana
43,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,12,32,16,Gusttavo Lima
44,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,15,36,30,NATTAN
45,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,21,35,25,Jorge & Mateus
46,spotify:track:0heeNYlwOGuUSe7TgUD27B,Question...?,46,—,1,Taylor Swift
47,spotify:track:3EM71GPnUGJ75uDhkH77pq,Insônia - Ao Vivo,37,45,9,LUDMILLA
48,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,36,40,4,Beyoncé
49,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,43,43,2,Mc Paiva ZS
50,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,37,38,8,Matheus & Kauan
51,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Karma,51,—,1,Taylor Swift
52,spotify:track:3QXBOJvtqhMcFR3ZPfyRQ4,Não Fosse Tão Tarde - Ao Vivo,52,75,2,Wesley Safadão
53,spotify:track:7bh2ybqXcEoIYL8FwiAMou,Intuição - Ao Vivo,17,44,19,Mari Fernandez
54,spotify:track:5wAoMzm5LaIvGED0JNeBfY,Cão Sem Dono,41,41,3,Mari Fernandez
55,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,4,46,19,Zé Felipe
56,spotify:track:3qoftcUZaUOncvIYjFSPdE,Bejeweled,56,—,1,Taylor Swift
57,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,10,42,18,MC Tairon
58,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),48,48,5,David Guetta
59,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,59,—,1,Matheus & Kauan
60,spotify:track:0K3u2t8YNuJ5NR9lKC1frv,AMEIANOITE,60,—,1,Pabllo Vittar
