rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,1,1,8,Felipe Amorim
2,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,2,4,3,Luísa Sonza
3,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,2,2,7,Felipe Amorim
4,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,4,5,26,Grupo Menos É Mais
5,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),3,7,7,MC Kevin o Chris
6,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,6,38,NATTAN
7,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,4,10,9,Vulgo FK
8,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,8,16,DENNIS
9,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,12,17,Veigh
10,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,2,13,20,Eric Land
11,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,1,9,16,Kadu Martins
12,spotify:track:0t5cfOZxePTvuYXTywHzjH,Penhasco2,3,3,3,Luísa Sonza
13,spotify:track:2exu569k07hUulN9CoPnMH,Campo De Morango,11,11,4,Luísa Sonza
14,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,14,14,3,Luísa Sonza
15,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,15,21,10,Ana Castela
16,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,5,20,11,Mc Livinho
17,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,17,17,3,MC Rogerinho
18,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",12,24,12,Melody
19,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,4,22,31,Simone Mendes
20,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,2,15,24,Grandão Vaqueiro
21,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,6,27,30,AgroPlay
22,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,4,18,23,Felipe Amorim
23,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,13,25,17,Veigh
24,spotify:track:07wcQ1j2RrORokWq3HaXex,Quem É o Louco Entre Nós,16,23,13,Raphaela Santos
25,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,4,26,24,KayBlack
26,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,30,27,Israel & Rodolffo
27,spotify:track:1dv8qeBPtLAli7J3xNeTDR,Surreal,16,16,3,Luísa Sonza
28,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,40,20,Matuê
29,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,32,40,Marília Mendonça
30,spotify:track:24LGL93o3wuVuYLCBhV3c5,Principalmente Me Sinto Arrasada,19,19,3,Luísa Sonza
31,spotify:track:6p6ohOKSzL4JaIRzSeOmWx,Cama Embrasa,16,28,18,Felipe Amorim
32,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",10,34,12,Mc Pedrinho
33,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,33,39,9,Gusttavo Lima
34,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",14,35,12,Dyamante DJ
35,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,35,—,1,Luan Pereira
36,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,5,44,32,MC Rogerinho
37,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,28,43,14,Luan Santana
38,spotify:track:6F0ldIcRC6oCcn3hDukg9T,Cadê Seu Namorado Moça?,9,36,17,Thales Lessa
39,spotify:track:7k8YBbVumvWI1ujyjWbvlo,Nunca Mais - Ao Vivo,23,29,25,NATTAN
40,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,40,51,15,Guilherme & Benuto
41,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Locked out of Heaven,41,71,2,Bruno Mars
42,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,16,47,23,KayBlack
43,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,43,48,10,Zé Neto & Cristiano
44,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,24,50,29,Guilherme & Benuto
45,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,9,55,31,Matheus & Kauan
46,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,46,64,6,Gusttavo Lima
