rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,1,2,5,Matuê
2,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,1,7,Davi Kneip
3,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,3,5,5,Teto
4,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,3,22,Xamã
5,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,4,12,PEDRO SAMPAIO
6,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),6,6,4,L7NNON
7,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,6,9,21,Mc Poze do Rodo
8,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,8,8,5,Felipe Amorim
9,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,7,25,Anitta
10,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,5,10,16,Hugo & Guilherme
11,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,12,16,Chefin
12,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,12,13,5,Matheus Fernandes
13,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,9,17,10,Pineapple StormTv
14,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,14,15,5,Gusttavo Lima
15,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,15,16,5,Harry Styles
16,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,11,14,Zé Felipe
17,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,5,14,12,Gloria Groove
18,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,18,26,3,Luan Santana
19,spotify:track:1iaPDgTbsKrlznVu13EWIf,ESSÊNCIA DE CRIA,15,20,19,MC Cabelinho
20,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,20,24,29,Filipe Ret
21,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,2,19,25,George Henrique & Rodrigo
22,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,14,23,21,Jorge & Mateus
23,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,6,18,12,MC Rogerinho
24,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,8,21,12,Luísa Sonza
25,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,3,27,21,DJ Matt D
26,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,17,28,18,Matuê
27,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,12,22,13,Luan Santana
28,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",12,25,10,Vulgo FK
29,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,27,32,5,L7NNON
30,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,29,29,Marília Mendonça
31,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),31,99,2,Anitta
32,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,30,29,Henrique & Juliano
33,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,30,31,12,Zé Neto & Cristiano
34,spotify:track:0cHflpV8SSGbE0NKaasEfT,F* F* M*,34,36,9,Filipe Ret
35,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,13,33,29,Henrique & Juliano
36,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,35,35,5,Mc Gabzin
37,spotify:track:7BwjZ1jy4B0ZyXTY4YQM9A,Assault (Carro Forte),37,41,4,Orochi
38,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,7,34,23,Gusttavo Lima
39,spotify:track:7KPhwNko8V9vYBIN653hSO,A Cara do Crime 2 (Cansou de Playboy),15,43,15,Mc Poze do Rodo
40,spotify:track:0EuRZKWzNptC1ZuIMFKLxz,Filho do Dono,40,—,1,Oruam
41,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,24,40,20,Wesley Safadão
42,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,42,50,8,MC Cabelinho
43,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,41,46,24,Henrique & Juliano
44,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,8,39,24,Mari Fernandez
45,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,2,37,25,Zé Felipe
46,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,6,42,15,LUDMILLA
47,spotify:track:53BkPZwlaLbW77uV9BnJkl,Eu Fiz o Jogo Virar,9,48,29,Mc Poze do Rodo
48,spotify:track:0wRn3ggAY1fIupTaVigdza,A Cara do Crime (Nós Incomoda),12,49,29,Mc Poze do Rodo
49,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,5,45,26,Marília Mendonça
50,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,50,86,2,MC Braz
51,spotify:track:6m187iACTSAZDYMaV0klqj,Freio da Blazer,44,47,29,L7NNON
52,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,2,38,29,PEDRO SAMPAIO
53,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,3,52,29,Matuê
54,spotify:track:1FGRA5pMtBqJLNAaSBia2x,Maldivas,20,53,14,LUDMILLA
55,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,7,44,14,Dj Guuga
56,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,22,61,16,Jão
57,spotify:track:7cHfnWEkL5KqfLg03G7Gic,EU SOU O TREM,40,56,23,MC Cabelinho
58,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,58,—,1,Mc Delux
59,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,54,54,3,Guilherme & Benuto
60,spotify:track:6giaOyDFbE4J8iclhCdW7E,Poesia Acústica 11: Nada Mudou,31,59,29,Pineapple StormTv
61,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),13,55,29,Lil Nas X
62,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,57,57,3,Hugo & Guilherme
63,spotify:track:13Rf6RaZT13TW4xLQR3MQr,Poesia Acústica #6: Era uma Vez,63,63,29,Pineapple StormTv
64,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,55,58,6,Matheus & Kauan
65,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,7,51,27,Paulo Pires
66,spotify:track:4BfppnNi6ZQTI8Ezo97zX6,Deus É o Meu Guia,40,62,10,Chefin
67,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,8,60,21,Anitta
68,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,22,64,29,Tayrone
69,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,48,71,25,Elton John
70,spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),36,70,29,The Kid LAROI
71,spotify:track:2HrjORyFBF3IFnXOAC3Rox,CPX Ta Tega,54,66,7,Mc Poze do Rodo
72,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,65,65,4,George Henrique & Rodrigo
